arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.57498139,98663.27343750,288.81570435,0.24394917
0.00110000,0.57051153,98865.93750000,287.54089355,113.67595673
0.00220000,0.57119916,99040.92968750,286.23837280,194.41928101
0.00330000,0.57536466,99255.49218750,285.39852905,194.43220520
0.00440000,0.57383901,99442.17968750,284.65103149,194.43252563
0.00550000,0.57627733,99670.47656250,284.32278442,193.87698364
0.00660000,0.57458507,99817.43750000,283.99716187,193.76611328
0.00769999,0.57660993,99917.47656250,283.70999146,193.78341675
0.00879999,0.57124730,100119.28125000,283.61373901,193.23873901
0.00990000,0.56478173,100294.22656250,283.54867554,192.68742371
0.01099999,0.57077355,100462.00000000,283.54168701,191.98658752
0.01209999,0.56672726,100650.31250000,283.57809448,191.21945190
0.01319999,0.56543154,100802.67187500,283.55871582,190.69892883
0.01430000,0.56664462,100949.66406250,283.54833984,190.15505981
0.01540001,0.56484719,101115.02343750,283.63290405,189.43017578
0.01650000,0.55311509,101284.53125000,283.74633789,188.64857483
0.01760000,0.55849300,101418.08593750,283.82290649,188.11219788
0.01870000,0.55510773,101559.28125000,283.94091797,187.45529175
0.01980000,0.55743592,101728.68750000,284.08993530,186.61996460
0.02090000,0.54895050,101865.92968750,284.18679810,186.01664734
0.02200000,0.54946294,102002.10937500,284.25936890,185.54090881
0.02310000,0.55405236,102163.69531250,284.28851318,185.17366028
0.02420000,0.54690720,102264.97656250,284.28863525,184.94546509
0.02530000,0.54499432,102413.34375000,284.38989258,184.27680969
0.02640000,0.54123930,102560.18750000,284.48983765,183.62673950
0.02749999,0.54225573,102705.89843750,284.54791260,183.24183655
0.02860001,0.53967432,102852.00000000,284.58099365,182.92103577
0.02970000,0.54408812,103048.62500000,284.74542236,182.00888062
0.03080001,0.54152692,103196.19531250,284.83581543,181.48652649
0.03189999,0.53397024,103301.93750000,284.90182495,181.16804504
0.03300001,0.53248215,103401.48437500,284.98141479,180.82690430
0.03409999,0.53690167,103521.44531250,285.15237427,180.23960876
0.03520001,0.53216261,103648.83593750,285.34811401,179.60043335
0.03629999,0.53293962,103763.75000000,285.58905029,178.92442322
0.03740000,0.52565105,103890.41406250,285.70275879,178.74166870
0.03849999,0.52414403,104014.08593750,285.84838867,178.53929138
0.03960000,0.52161838,104135.67187500,286.05865479,178.19464111
0.04069999,0.52786046,104284.39062500,286.35092163,177.60263062
0.04180000,0.52632020,104431.17187500,286.67361450,176.97987366
0.04289999,0.52044015,104535.78906250,286.95513916,176.62959290
0.04400000,0.51664487,104658.76562500,287.29324341,176.19226074
0.04509998,0.51760859,104817.72656250,287.73941040,175.47599792
0.04620000,0.51598517,104943.60937500,288.22625732,174.85507202
0.04729998,0.51849246,105063.51562500,288.71789551,174.36721802
0.04840000,0.51154541,105164.67968750,289.23730469,174.09272766
0.04949998,0.51154541,105329.41406250,289.86212158,173.25781250
0.05060000,0.50787053,105429.28125000,290.51257324,172.83943176
0.05169998,0.50415407,105520.00000000,291.38635254,172.25877380
0.05280000,0.50317936,105638.53906250,292.45370483,171.58311462
0.05389998,0.49568023,105750.97656250,293.78552246,120.06963348
0.05499999,nan,nan,nan,nan
