arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.58104765,96269.75000000,287.13345337,0.66133815
0.00110000,0.58104765,96440.70312500,286.62319946,69.81899261
0.00220000,0.59402343,96612.84375000,286.03475952,138.99029541
0.00330001,0.59226072,96792.34375000,285.38513184,200.43792725
0.00440001,0.58846085,96948.25781250,284.62728882,200.83001709
0.00549999,0.58846085,97136.40625000,284.00128174,200.80470276
0.00660000,0.58846085,97324.55468750,283.37524414,200.77972412
0.00770000,0.58519773,97504.59375000,283.10507202,200.40843201
0.00880000,0.58519773,97682.20312500,283.03469849,199.82466125
0.00990000,0.59524025,97852.45312500,282.94631958,199.31146240
0.01100000,0.58528659,97998.10937500,282.96908569,198.72413635
0.01210000,0.58528659,98142.51562500,283.09020996,197.96739197
0.01320000,0.58528659,98286.92187500,283.21130371,197.21102905
0.01429999,0.59080284,98423.81250000,283.23855591,196.71452332
0.01539999,0.58476715,98570.71875000,283.27023315,196.25534058
0.01650000,0.57544456,98726.66406250,283.41494751,195.52883911
0.01760000,0.57544456,98872.82812500,283.42135620,195.13774109
0.01870000,0.57544456,99018.99218750,283.42779541,194.74668884
0.01980000,0.58084078,99152.32031250,283.37057495,194.55094910
0.02090000,0.57323557,99273.60937500,283.25070190,194.57740784
0.02200000,0.57326711,99415.19531250,283.22869873,194.35037231
0.02310001,0.56242966,99560.31250000,283.42385864,193.56701660
0.02420001,0.56242966,99685.38281250,283.56213379,192.94546509
0.02530001,0.56242966,99810.45312500,283.70040894,192.32394409
0.02640001,0.56242966,99935.52343750,283.83871460,191.70245361
0.02750001,0.57107028,100067.93750000,283.93035889,191.19557190
0.02859999,0.55777039,100188.96093750,283.89807129,191.02732849
0.02969999,0.55777039,100358.67187500,284.06176758,190.29158020
0.03079999,0.55777039,100528.38281250,284.22546387,189.55592346
0.03189999,0.57089493,100682.54687500,284.41409302,188.80477905
0.03299999,0.56572636,100824.25000000,284.61630249,188.15098572
0.03409999,0.56572636,100974.03906250,284.80148315,187.57655334
0.03520000,0.54065624,101114.64843750,284.88873291,187.25065613
0.03630000,0.53294657,101267.12500000,285.23318481,186.30358887
0.03740000,0.56152459,101409.17968750,285.52871704,185.57881165
0.03850000,0.54065893,101526.84375000,285.66033936,185.48368835
0.03960000,0.54065893,101644.24218750,285.78781128,185.40061951
0.04070000,0.54065893,101761.64843750,285.91531372,185.31779480
0.04180000,0.53606767,101882.78125000,286.03433228,185.23031616
0.04290000,0.53556929,102027.25781250,286.41671753,184.52763367
0.04400001,0.52737725,102149.96875000,286.68197632,184.33813477
0.04510001,0.53336935,102288.87500000,287.09884644,183.81924438
0.04619998,0.53336935,102435.00000000,287.57766724,183.13482666
0.04729998,0.53336935,102581.12500000,288.05648804,182.45091248
0.04839998,0.52759077,102694.47656250,288.58013916,182.29844666
0.04949998,0.52759077,102804.75781250,289.11373901,182.18249512
0.05059999,0.52759077,102915.03906250,289.64730835,182.06698608
0.05169999,0.51967785,103043.21875000,290.33422852,164.24365234
0.05279999,0.52278692,103158.96093750,290.98608398,109.21589661
0.05389999,0.52482166,103286.28125000,291.66198730,54.26945877
0.05500000,nan,nan,nan,nan
