arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.45392530,130165.93750000,301.80456543,0.12664816
0.00110000,0.44915705,130350.85156250,301.28793335,79.79862213
0.00220000,0.44915705,130506.93750000,300.76214600,153.35583496
0.00330000,0.45096520,130640.75781250,300.19558716,156.20092773
0.00440000,0.45743289,130774.32812500,299.66275024,156.23754883
0.00549999,0.44699124,130951.39843750,299.61398315,155.80635071
0.00659999,0.44699124,131108.09375000,299.58242798,155.41188049
0.00770001,0.44730457,131256.15625000,299.63153076,154.79168701
0.00880000,0.45298037,131417.29687500,299.70672607,154.07099915
0.00990000,0.44274257,131490.67187500,299.77621460,153.68301392
0.01100000,0.44053773,131536.85937500,299.83731079,153.32101440
0.01210000,0.44616798,131676.07812500,299.97106934,152.47538757
0.01320000,0.43713537,131818.96875000,300.07574463,151.90126038
0.01430000,0.43991942,131975.98437500,300.18600464,151.22947693
0.01540000,0.43096024,132125.10937500,300.34237671,150.33195496
0.01650000,0.43183490,132172.85937500,300.40829468,150.00421143
0.01759999,0.43375557,132238.09375000,300.52706909,149.54455566
0.01869999,0.42797079,132337.78125000,300.66049194,148.97692871
0.01979999,0.42790139,132492.76562500,300.81494141,148.17156982
0.02090001,0.41815132,132643.17187500,300.96084595,147.31025696
0.02200000,0.41975836,132777.48437500,301.09686279,146.48284912
0.02310000,0.42393836,132894.95312500,301.20639038,145.75761414
0.02420000,0.42288928,133012.17187500,301.26345825,145.61451721
0.02530000,0.42146808,133126.84375000,301.32250977,145.46791077
0.02640000,0.42248967,133215.09375000,301.37564087,145.07687378
0.02750000,0.41547204,133309.31250000,301.39596558,144.72067261
0.02860000,0.41411427,133392.21875000,301.43823242,144.35644531
0.02969999,0.41695922,133503.93750000,301.49710083,143.88195801
0.03079999,0.41632477,133539.67187500,301.45407104,143.76832581
0.03189999,0.40820919,133700.78125000,301.51608276,142.96855164
0.03299999,0.40823888,133842.07812500,301.57879639,142.26046753
0.03409999,0.40870498,133978.46875000,301.63015747,141.72206116
0.03519999,0.40831988,134070.21875000,301.62884521,141.61775208
0.03629999,0.40744534,134119.51562500,301.59124756,141.89732361
0.03739998,0.40824075,134204.48437500,301.59713745,141.61419678
0.03849998,0.40824075,134322.18750000,301.61334229,141.18455505
0.03959998,0.40408737,134407.32812500,301.61026001,140.93440247
0.04069998,0.40730682,134514.43750000,301.62854004,140.55523682
0.04180001,0.40449840,134630.48437500,301.65499878,140.29063416
0.04290001,0.40449840,134728.42187500,301.69366455,140.07456970
0.04400001,0.39709940,134839.35937500,301.75003052,139.75378418
0.04510001,0.40088041,134955.95312500,301.84362793,139.31617737
0.04620000,0.40373418,135080.40625000,301.95193481,138.80804443
0.04730000,0.40016960,135161.70312500,302.07110596,138.59584045
0.04840000,0.39289771,135225.82812500,302.20404053,138.49931335
0.04950000,0.39831188,135368.26562500,302.45840454,137.83413696
0.05060000,0.39650353,135520.32812500,302.75711060,137.11737061
0.05170000,0.39650353,135615.23437500,303.28811646,136.45719910
0.05280000,0.38578794,135702.26562500,303.81216431,135.87417603
0.05390000,0.38729822,135781.95312500,304.45776367,66.53792572
0.05500000,nan,nan,nan,nan
