arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.12695311,152411.60937500,309.19161987,0.15222269
0.00109999,0.12695311,152412.12500000,309.17523193,9.75070477
0.00220000,0.12695311,152412.64062500,309.15884399,19.34931564
0.00329999,0.12695311,152413.15625000,309.14242554,28.94779968
0.00440000,0.12670508,152414.00000000,309.12533569,38.68679428
0.00549999,0.12738492,152414.45312500,309.10818481,45.05156326
0.00660000,0.12784244,152413.46875000,309.09985352,45.08757401
0.00769999,0.12784244,152412.28125000,309.09149170,45.11441040
0.00880000,0.12784244,152411.09375000,309.08316040,45.14126205
0.00990000,0.12784244,152409.89062500,309.07479858,45.16812897
0.01100000,0.12784244,152408.70312500,309.06646729,45.19500732
0.01210001,0.12840168,152407.25000000,309.05969238,45.23557281
0.01319999,0.12853701,152405.34375000,309.05532837,45.29340744
0.01430000,0.12853701,152402.98437500,309.05230713,45.33977127
0.01540000,0.12874592,152400.93750000,309.04974365,45.38052368
0.01649998,0.12874592,152399.34375000,309.04782104,45.41311264
0.01759999,0.12874592,152397.75000000,309.04592896,45.44570541
0.01870000,0.12895730,152396.32812500,309.04443359,45.47000885
0.01980001,0.12895730,152395.25000000,309.04373169,45.47813416
0.02089998,0.12871185,152393.98437500,309.04302979,45.48924255
0.02199999,0.12883239,152391.93750000,309.04174805,45.52000427
0.02310000,0.12893813,152389.10937500,309.03991699,45.56620026
0.02420001,0.12952722,152386.53125000,309.03836060,45.60116577
0.02529998,0.12952722,152384.01562500,309.03689575,45.63342285
0.02639999,0.12952722,152381.50000000,309.03540039,45.66569138
0.02750000,0.12961210,152379.21875000,309.03405762,45.69540787
0.02859998,0.12984706,152377.39062500,309.03311157,45.71836472
0.02969999,0.12984706,152375.59375000,309.03219604,45.73997116
0.03080000,0.12984706,152373.78125000,309.03128052,45.76157761
0.03190000,0.12984706,152371.96875000,309.03039551,45.78318405
0.03299998,0.12928973,152370.15625000,309.02975464,45.79726410
0.03409999,0.12994129,152369.00000000,309.02929688,45.80937958
0.03520000,0.13022337,152366.82812500,309.02871704,45.83293915
0.03630000,0.13022337,152364.35937500,309.02792358,45.86041641
0.03739998,0.13022337,152361.89062500,309.02713013,45.88789749
0.03849999,0.13050297,152359.34375000,309.02639771,45.91445160
0.03960000,0.13062987,152356.81250000,309.02569580,45.94005203
0.04070000,0.13036463,152356.09375000,309.02758789,45.93700409
0.04179998,0.13021441,152355.39062500,309.02920532,45.92905807
0.04289999,0.13045274,152354.87500000,309.03085327,45.91590500
0.04400000,0.13045274,152354.35937500,309.03250122,45.90247726
0.04509998,0.13053332,152353.78125000,309.03466797,45.89796448
0.04619998,0.13037208,152353.20312500,309.04345703,45.88871765
0.04729999,0.13018392,152352.64062500,309.05233765,45.87899780
0.04840000,0.13018392,152352.15625000,309.06112671,45.86765671
0.04949998,0.13023687,152351.42187500,309.07034302,45.85935593
0.05059998,0.12956348,152351.18750000,309.08401489,39.73581314
0.05169999,0.12965879,152351.18750000,309.10110474,29.53102303
0.05280000,0.12965879,152350.79687500,309.11761475,19.62027359
0.05389998,0.12965879,152350.42187500,309.13412476,9.70978546
0.05499999,nan,nan,nan,nan
