arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.60354307,95956.15625000,285.08221436,0.31043020
0.00110001,0.60980501,96132.35156250,284.45578003,64.79868317
0.00220000,0.60980501,96291.00000000,283.78723145,132.64704895
0.00330001,0.61178142,96483.27343750,283.10708618,205.87705994
0.00440000,0.61348171,96672.09375000,282.62329102,205.68585205
0.00550001,0.61348171,96883.98437500,282.14666748,205.40065002
0.00660000,0.61348171,97095.85937500,281.67004395,205.11605835
0.00770000,0.61221370,97273.98437500,281.48245239,204.66920471
0.00880000,0.61285762,97429.71093750,281.44433594,204.12716675
0.00990000,0.61285762,97585.29687500,281.40530396,203.58624268
0.01100000,0.61302899,97747.78906250,281.36605835,203.04019165
0.01210000,0.60778048,97925.86718750,281.35800171,202.51470947
0.01320000,0.59636126,98087.01562500,281.36853027,202.01599121
0.01430000,0.59636126,98230.48437500,281.41766357,201.44758606
0.01539999,0.59553094,98374.19531250,281.46499634,200.95220947
0.01650000,0.59137334,98524.32812500,281.50854492,200.48298645
0.01759999,0.59562437,98681.87500000,281.55187988,199.98194885
0.01870000,0.58854403,98840.15625000,281.62640381,199.45693970
0.01979999,0.59350462,99003.66406250,281.71936035,198.88502502
0.02090000,0.59350462,99151.96093750,281.79220581,198.35920715
0.02199999,0.58700398,99285.72656250,281.83441162,197.95056152
0.02310000,0.58754381,99408.39062500,281.85623169,197.64395142
0.02420000,0.58963589,99536.10937500,281.94946289,197.16816711
0.02529998,0.58923705,99654.00000000,282.11016846,196.53025818
0.02639999,0.57821248,99854.83593750,282.18493652,195.96392822
0.02750000,0.58020260,99998.89843750,282.27886963,195.47373962
0.02860000,0.58020260,100122.17968750,282.29977417,195.25767517
0.02970001,0.58020260,100245.46093750,282.32064819,195.04162598
0.03079999,0.57983856,100383.78906250,282.39218140,194.63562012
0.03189999,0.57222687,100519.55468750,282.50192261,194.19059753
0.03300000,0.57222687,100652.37500000,282.63327026,193.75245667
0.03410001,0.57222687,100785.18750000,282.76461792,193.31436157
0.03519998,0.57088279,100924.40625000,282.90133667,192.84683228
0.03629999,0.56552149,101064.01562500,283.07424927,192.43145752
0.03740000,0.56552149,101211.77343750,283.27261353,192.02043152
0.03850001,0.56552149,101359.53125000,283.47100830,191.60952759
0.03959998,0.56876296,101504.35937500,283.69235229,191.19534302
0.04069999,0.57113360,101633.91406250,284.00753784,190.67335510
0.04180000,0.57113360,101761.42968750,284.32397461,190.14027405
0.04290000,0.57206325,101904.28125000,284.57528687,189.81439209
0.04399998,0.55382900,102037.97656250,284.91528320,189.40950012
0.04509999,0.56290289,102164.94531250,285.35751343,188.85655212
0.04620000,0.55990080,102282.34375000,285.81405640,188.37170410
0.04730000,0.55631521,102401.02343750,286.26824951,187.89030457
0.04839998,0.54994748,102521.31250000,286.83416748,187.35563660
0.04949998,0.54994748,102662.35937500,287.56188965,186.84338379
0.05059999,0.54994748,102803.40625000,288.28961182,186.33145142
0.05170000,0.54938574,102951.59375000,289.02789307,185.80581665
0.05279998,0.54082406,103092.50000000,289.70782471,127.55995178
0.05389998,0.54082406,103238.26562500,290.39166260,64.28929901
0.05499999,nan,nan,nan,nan
