arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.14385392,125268.98437500,301.47180176,89.36113739
0.00110000,0.14385392,125273.67968750,301.03161621,63.11251831
0.00220001,0.14385392,125278.36718750,300.59140015,48.04915237
0.00330000,0.15694634,125281.16406250,300.12673950,52.65110397
0.00440000,0.15694634,125286.94531250,299.69906616,53.27281952
0.00550000,0.15694634,125292.73437500,299.27139282,53.90306854
0.00660000,0.15409434,125301.49218750,298.86669922,54.56978989
0.00770000,0.15409434,125301.16406250,298.63226318,54.98894119
0.00880001,0.16030547,125296.98437500,298.44915771,55.29456329
0.00990000,0.16362440,125289.14843750,298.33151245,55.40573502
0.01100000,0.16082693,125287.55468750,298.15396118,55.72496414
0.01210001,0.15911278,125289.84375000,297.93908691,56.11771774
0.01320000,0.15911278,125281.04687500,297.81866455,56.23220825
0.01430000,0.16735443,125280.95312500,297.65469360,56.59889984
0.01540001,0.16869598,125296.55468750,297.57022095,56.91480637
0.01650000,0.16869598,125318.77343750,297.46911621,57.30870056
0.01760000,0.16662710,125329.86718750,297.39218140,57.55105591
0.01870001,0.16518589,125321.28125000,297.27273560,57.98393631
0.01980002,0.16999873,125296.06250000,297.10971069,58.49129486
0.02090000,0.16999873,125258.73437500,296.99673462,58.88272095
0.02200001,0.17393926,125231.19531250,296.91928101,59.20877457
0.02310002,0.17393926,125223.07031250,296.81109619,59.58162308
0.02420000,0.17084836,125214.12500000,296.81317139,59.68410110
0.02530001,0.17305463,125205.49218750,296.82525635,59.72267532
0.02640002,0.17305463,125192.68750000,296.70028687,59.96575928
0.02750000,0.17305463,125179.89062500,296.57531738,60.20983505
0.02860001,0.17532321,125175.21093750,296.47506714,60.35110855
0.02970002,0.17703543,125172.59375000,296.39514160,60.60791397
0.03080000,0.17605325,125173.10937500,296.34881592,60.92357635
0.03190001,0.17605325,125175.17968750,296.29736328,61.24718475
0.03300002,0.17906485,125176.46875000,296.21398926,61.65573883
0.03410000,0.17906485,125175.93750000,296.05609131,62.26161194
0.03520001,0.18235248,125175.15625000,295.90057373,62.86193085
0.03630002,0.18183478,125177.54687500,295.85858154,63.19246674
0.03740000,0.18391554,125171.77343750,295.82629395,63.56595993
0.03850001,0.18391554,125160.58593750,295.79602051,63.97046661
0.03960002,0.18728200,125152.04687500,295.76040649,64.38404846
0.04070000,0.19079803,125146.20312500,295.75057983,64.77817535
0.04180001,0.18979962,125135.35156250,295.82418823,65.16262054
0.04290002,0.18979962,125125.53125000,295.88073730,65.62320709
0.04400000,0.18979962,125115.71875000,295.93725586,66.08613586
0.04510001,0.19477402,125096.30468750,295.99792480,66.50921631
0.04620002,0.19477402,125076.18750000,296.08923340,66.82994843
0.04730000,0.19359819,125062.17968750,296.21194458,67.07039642
0.04840001,0.19116546,125057.39843750,296.39871216,67.06217194
0.04950002,0.19354594,125052.22656250,296.64639282,66.89389801
0.05060000,0.19354594,125058.44531250,296.88314819,66.73271942
0.05170001,0.19205284,125063.87500000,297.11996460,64.53303528
0.05280003,0.19205284,125061.94531250,297.35714722,43.24707413
0.05390001,0.19205284,125060.01562500,297.59432983,21.96278763
0.05500001,0.18645904,125065.67968750,297.88363647,0.04482921
