arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.12855067,125562.29687500,299.77172852,89.36152649
0.00110000,0.12820344,125555.90625000,299.46191406,58.82209015
0.00220000,0.12820344,125555.19531250,299.16256714,39.94459534
0.00330000,0.13416685,125557.06250000,298.85864258,45.68061447
0.00440000,0.13153694,125548.39843750,298.51354980,46.15842819
0.00550001,0.13153694,125538.79687500,298.16748047,46.63961029
0.00660000,0.14065096,125529.10156250,297.84439087,47.15028000
0.00770000,0.13657141,125527.11718750,297.67749023,47.56218338
0.00880000,0.13657141,125526.54687500,297.50103760,48.02085495
0.00990000,0.13752552,125526.10937500,297.33224487,48.47537613
0.01100000,0.14182952,125526.79687500,297.20492554,48.90684128
0.01210000,0.14108490,125533.55468750,297.07431030,49.32409286
0.01320001,0.14108490,125539.11718750,296.94668579,49.73754883
0.01430000,0.14104600,125553.84375000,296.91159058,49.85872650
0.01540000,0.14363973,125565.82812500,296.87814331,49.84944153
0.01650000,0.14363973,125566.93750000,296.82974243,49.86217499
0.01760001,0.14337008,125567.74218750,296.78332520,49.99171829
0.01870000,0.14527229,125570.10937500,296.75335693,50.26116943
0.01980000,0.14757955,125570.54687500,296.72830200,50.48548889
0.02090001,0.14556792,125584.17187500,296.66867065,50.51182556
0.02200000,0.14556792,125599.28906250,296.60589600,50.53586197
0.02310000,0.14651411,125611.23437500,296.56515503,50.58507919
0.02420001,0.14453954,125623.47656250,296.54025269,50.57633591
0.02530001,0.14506518,125635.94531250,296.51770020,50.57679749
0.02640000,0.14506518,125640.22656250,296.54022217,50.67365265
0.02750001,0.14767032,125658.46093750,296.53649902,50.75186920
0.02860001,0.14768049,125674.29687500,296.49346924,50.89139557
0.02970000,0.14794574,125686.51562500,296.45022583,51.06520462
0.03080000,0.14573716,125700.75781250,296.41256714,51.29990005
0.03189999,0.14737029,125718.50781250,296.39901733,51.54400253
0.03300001,0.14737029,125736.96093750,296.38412476,51.79225922
0.03410000,0.14927091,125753.67187500,296.37609863,52.07789230
0.03520002,0.15332016,125761.63281250,296.37173462,52.52034378
0.03630001,0.15332016,125767.21093750,296.34808350,53.01066971
0.03740000,0.15344228,125771.52343750,296.31570435,53.49499512
0.03850002,0.15466038,125764.88281250,296.31811523,53.86357498
0.03960001,0.15664246,125755.92187500,296.33709717,54.17005539
0.04070000,0.15664246,125748.14062500,296.34619141,54.53039932
0.04180001,0.15943115,125760.14062500,296.42370605,54.96586227
0.04290001,0.15943115,125778.77343750,296.52960205,55.42323685
0.04400000,0.16161019,125795.72656250,296.64889526,55.80711365
0.04510001,0.16197503,125800.84375000,296.81436157,56.01393890
0.04620001,0.16084355,125792.71875000,297.00463867,56.34770584
0.04730000,0.16262894,125798.46875000,297.33078003,56.51334763
0.04840001,0.16262894,125806.26562500,297.71887207,56.59571075
0.04950001,0.16545026,125815.00781250,298.15133667,56.65052032
0.05060002,0.16129942,125812.03906250,298.54476929,56.61299896
0.05170001,0.16129942,125807.71875000,298.98974609,56.48336792
0.05280000,0.15961558,125810.15625000,299.50646973,46.15930557
0.05390002,0.15961558,125813.57812500,299.87182617,23.94174385
0.05500001,0.15988463,125816.32031250,300.32751465,0.04285065
