arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.14982022,125003.84375000,299.70803833,89.56902313
0.00110001,0.14675299,125018.59375000,299.37829590,58.34914017
0.00220000,0.14816271,125051.25781250,299.04867554,42.41673279
0.00330001,0.15417839,125074.53125000,298.71807861,51.75056458
0.00440000,0.15417839,125069.14062500,298.38482666,52.14056778
0.00550001,0.15712220,125064.35937500,298.05273438,52.53838348
0.00660000,0.15733146,125054.00000000,297.81576538,52.90597153
0.00770000,0.15733146,125030.87500000,297.65316772,53.27968979
0.00880000,0.15733146,125007.75000000,297.49057007,53.65343094
0.00990000,0.16014511,124994.47656250,297.34796143,53.98402786
0.01100000,0.16014511,124975.55468750,297.22592163,54.33780670
0.01210000,0.16038842,124957.35156250,297.10324097,54.69108200
0.01320000,0.15534645,124941.71093750,297.02624512,54.91542053
0.01430000,0.16290041,124941.22656250,297.00329590,55.05984879
0.01539999,0.16290041,124941.82812500,296.98727417,55.17248154
0.01650000,0.16469020,124942.32812500,296.97189331,55.28660965
0.01759999,0.16469020,124935.03906250,297.00283813,55.38429642
0.01870000,0.16481996,124923.03125000,297.03396606,55.47948456
0.01979999,0.16437766,124922.24218750,297.02984619,55.65327072
0.02090000,0.16437766,124925.56250000,297.04376221,55.75938034
0.02199999,0.16686228,124914.20312500,297.05520630,55.87284088
0.02310000,0.16283348,124903.69531250,297.08538818,55.87367630
0.02420000,0.16036832,124894.19531250,297.09988403,55.91174316
0.02529998,0.16646987,124879.13281250,297.03649902,56.26824570
0.02639999,0.16513742,124863.39062500,296.97018433,56.63624191
0.02750000,0.16530934,124860.56250000,296.92959595,56.89524460
0.02860000,0.16534270,124847.52343750,296.89230347,57.22832108
0.02970001,0.16534270,124835.07812500,296.85620117,57.55332184
0.03079999,0.16889711,124845.78125000,296.88070679,57.65309906
0.03189999,0.16889711,124866.33593750,296.88375854,57.83210373
0.03300000,0.16986412,124878.63281250,296.88732910,58.02559662
0.03410001,0.16986412,124870.64843750,296.89028931,58.28186035
0.03519998,0.16893488,124868.29687500,296.90301514,58.48150635
0.03629999,0.17105685,124863.63281250,296.84936523,58.99100876
0.03740000,0.17532311,124863.78906250,296.78939819,59.56230164
0.03850001,0.17689837,124859.73437500,296.75769043,60.07457733
0.03959998,0.17689837,124848.00000000,296.77139282,60.49160767
0.04069999,0.17603594,124840.11718750,296.79653931,60.86255264
0.04180000,0.18288011,124824.97656250,296.86804199,61.34150314
0.04290000,0.18288011,124802.21875000,296.96865845,61.89479065
0.04399998,0.18288011,124779.46093750,297.06930542,62.44888306
0.04509999,0.18151555,124774.03125000,297.32730103,62.66722107
0.04620000,0.18650500,124779.17187500,297.69573975,62.65313339
0.04730000,0.18337382,124787.23437500,298.07470703,62.61645508
0.04839998,0.18348456,124768.23437500,298.90551758,62.28506851
0.04949998,0.18348456,124758.94531250,300.00033569,61.72643661
0.05059999,0.18756330,124757.30468750,301.16931152,61.50802231
0.05170000,0.17688626,124761.39843750,302.42129517,61.60802841
0.05279998,0.18075341,124742.21875000,304.46221924,58.51752090
0.05389998,0.18093210,124696.23437500,306.45437622,31.08766747
0.05499999,nan,nan,nan,nan
