arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.14590822,125017.32812500,300.27682495,89.57315063
0.00110000,0.14371214,125044.56250000,299.90618896,55.53562164
0.00220000,0.14371214,125087.43750000,299.54608154,43.68953323
0.00330000,0.14888152,125104.38281250,299.18560791,50.26942825
0.00440000,0.14701477,125105.50000000,298.84533691,50.62576675
0.00549999,0.15033267,125110.57031250,298.54965210,50.95326996
0.00659999,0.15033267,125094.50781250,298.39770508,51.23709488
0.00770001,0.15104932,125083.03125000,298.23947144,51.50630569
0.00880000,0.15440649,125072.31250000,298.09292603,51.80416107
0.00990000,0.15440649,125055.62500000,297.92785645,52.19077682
0.01100000,0.15030796,125045.26562500,297.79489136,52.48394012
0.01210000,0.15592558,125043.75781250,297.73120117,52.71465302
0.01320000,0.15592558,125043.82031250,297.70654297,52.89453888
0.01430000,0.15490550,125043.66406250,297.69647217,53.03017426
0.01540000,0.15666525,125041.50781250,297.68280029,53.15040207
0.01650000,0.15337456,125039.52343750,297.66656494,53.28364182
0.01759999,0.15956984,125044.42187500,297.63778687,53.57207489
0.01869999,0.15561634,125065.65625000,297.65847778,53.62255478
0.01979999,0.15625664,125075.07812500,297.65460205,53.67885590
0.02090001,0.16014117,125083.39062500,297.67218018,53.67807388
0.02200000,0.15914048,125071.98437500,297.68429565,53.78013229
0.02310000,0.15405414,125059.81250000,297.70486450,53.90968323
0.02420000,0.15827835,125049.39062500,297.71469116,54.08700180
0.02530000,0.15564144,125040.10937500,297.72116089,54.27120972
0.02640000,0.16071311,125037.48437500,297.69317627,54.44929886
0.02750000,0.15900936,125053.41406250,297.71209717,54.50399780
0.02860000,0.16009116,125067.23437500,297.71463013,54.66114807
0.02969999,0.16009116,125077.51562500,297.68103027,54.96230316
0.03079999,0.16219590,125092.84375000,297.66854858,55.21526337
0.03189999,0.16143930,125098.83593750,297.61605835,55.51644897
0.03299999,0.16350069,125109.15625000,297.57711792,55.82273483
0.03409999,0.16414139,125122.55468750,297.58990479,56.09346771
0.03519999,0.16414139,125144.35937500,297.59951782,56.41117477
0.03629999,0.16547989,125140.63281250,297.57867432,56.75725555
0.03739998,0.16451080,125136.17187500,297.54492188,57.13917542
0.03849998,0.16900604,125138.00781250,297.56915283,57.48687363
0.03959998,0.16965910,125134.17187500,297.60427856,57.92707062
0.04069998,0.17013336,125132.57031250,297.66226196,58.29907990
0.04180001,0.17381124,125130.42187500,297.73211670,58.73069382
0.04290001,0.17389270,125124.67187500,297.81484985,59.25012207
0.04400001,0.17389270,125146.16406250,298.03848267,59.36249542
0.04510001,0.17471588,125144.42968750,298.33776855,59.57205963
0.04620000,0.17471588,125117.78906250,298.83148193,59.58983612
0.04730000,0.17538515,125098.92187500,299.52349854,59.37536621
0.04840000,0.17385301,125068.48437500,300.44226074,58.96660614
0.04950000,0.17258672,125046.75781250,302.41531372,57.89720917
0.05060000,0.15762089,125026.21875000,304.95581055,56.93014526
0.05170000,0.17475039,125009.25000000,308.24514771,58.71545792
0.05280000,0.17475039,124999.70312500,311.19168091,61.41093826
0.05390000,0.18053194,124905.10156250,312.92742920,33.41953659
0.05500000,0.18285394,124827.39062500,314.47100830,0.03112192
