arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.12011942,126375.56250000,301.54544067,89.54855347
0.00110000,0.12264532,126388.66406250,301.23056030,46.65961075
0.00220001,0.12468462,126395.04687500,300.89111328,42.76036453
0.00329999,0.12661146,126398.04687500,300.46969604,43.18165588
0.00440000,0.12280522,126395.21875000,300.08261108,43.66608047
0.00550000,0.12824372,126403.87500000,299.91180420,44.09560013
0.00660000,0.13055317,126402.32812500,299.74523926,44.62756348
0.00769999,0.12905590,126423.98437500,299.56878662,45.12546539
0.00880000,0.13142109,126433.38281250,299.40368652,45.59260559
0.00990000,0.13486909,126445.98437500,299.22109985,45.95011520
0.01100000,0.13548481,126446.70312500,299.14816284,46.20044327
0.01210000,0.13216050,126444.10156250,299.23574829,46.33916855
0.01319999,0.13367619,126437.85937500,299.32104492,46.52717972
0.01430000,0.13684021,126447.93750000,299.26220703,46.93307495
0.01540000,0.13860736,126463.08593750,299.22460938,47.40695190
0.01650000,0.13831952,126471.01562500,299.23193359,47.85734558
0.01759999,0.14058786,126488.76562500,299.22384644,48.14852905
0.01869999,0.13966548,126504.60937500,299.21954346,48.47830963
0.01980000,0.14222168,126498.43750000,299.29226685,48.68556976
0.02090000,0.14006203,126516.07031250,299.26608276,48.97692490
0.02200000,0.14295135,126521.34375000,299.37191772,49.27894211
0.02309999,0.14281360,126529.24218750,299.42999268,49.49855042
0.02419999,0.14601968,126525.27343750,299.46661377,49.86496735
0.02529998,0.14601968,126528.72656250,299.48916626,50.22814560
0.02640000,0.14954616,126534.27343750,299.57595825,50.46655273
0.02749999,0.14317294,126541.78125000,299.73312378,50.59657288
0.02860001,0.15068703,126535.82812500,299.66305542,51.27627182
0.02969999,0.15160309,126528.75000000,299.57626343,51.92877579
0.03079998,0.15160309,126545.75000000,299.59457397,52.13392258
0.03190000,0.15489418,126550.84375000,299.57504272,52.57549667
0.03299999,0.15489418,126552.57031250,299.54870605,53.16835785
0.03410001,0.15623105,126557.57031250,299.60772705,53.66884995
0.03520000,0.15958445,126545.49218750,299.66906738,54.16984558
0.03629998,0.16243803,126522.89843750,299.68698120,54.77269745
0.03740000,0.16269902,126509.85937500,299.70767212,55.31273270
0.03849999,0.16205176,126532.12500000,299.68139648,55.61228943
0.03960001,0.16125028,126533.46093750,299.64825439,56.04824829
0.04070000,0.16582089,126515.96875000,299.72283936,56.63253784
0.04179998,0.16251404,126497.18750000,299.85797119,57.13214493
0.04290000,0.16614889,126486.19531250,300.20880127,57.21883011
0.04399999,0.16566288,126476.60937500,300.54354858,57.30113220
0.04509998,0.16869490,126459.33593750,301.10034180,57.40939331
0.04620000,0.16656814,126451.10937500,301.69906616,57.41324997
0.04729999,0.16454368,126429.28125000,303.12890625,56.51221085
0.04840000,0.15965591,126398.64843750,304.69088745,55.62002945
0.04949999,0.15695068,126343.68750000,307.16650391,55.88344193
0.05059998,0.15914234,126281.03125000,310.04690552,57.05381012
0.05170000,0.16851213,126250.41406250,312.53927612,63.64211273
0.05279998,0.19358192,126246.54687500,314.59790039,70.68430328
0.05390000,0.22569501,126341.76562500,314.99081421,38.78953171
0.05499999,0.22707637,126438.06250000,315.26019287,0.04535504
