arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.59833409,95993.98437500,285.84329224,0.82284212
0.00110000,0.59833409,96122.68750000,285.12750244,69.02471161
0.00220001,0.59833409,96251.39062500,284.41171265,137.22747803
0.00330000,0.60945100,96422.33593750,283.80227661,204.24929810
0.00440000,0.61001043,96630.89843750,283.46752930,203.61143494
0.00550000,0.59521850,96856.44531250,283.02355957,203.15696716
0.00660000,0.59372167,97066.75000000,282.44583130,202.99583435
0.00770000,0.59464907,97263.30468750,282.13735962,202.57615662
0.00880001,0.59464907,97437.31250000,282.01766968,202.12324524
0.00990000,0.59820452,97582.39843750,281.86279297,201.84623718
0.01100000,0.59820452,97725.79687500,281.70587158,201.57972717
0.01210001,0.59063201,97875.79687500,281.77117920,200.98306274
0.01320000,0.58553786,98034.52343750,281.90844727,200.23474121
0.01430000,0.58553786,98214.31250000,282.11837769,199.24917603
0.01540001,0.59364677,98378.45312500,282.12612915,198.82615662
0.01650000,0.57871510,98532.91406250,282.11358643,198.46119690
0.01760000,0.57871510,98666.01562500,282.05484009,198.22827148
0.01870001,0.58219263,98819.00000000,282.02499390,197.86003113
0.01980002,0.58213914,98964.73437500,282.06481934,197.38864136
0.02090000,0.58213914,99105.03125000,282.14749146,196.85781860
0.02200001,0.58213914,99245.32812500,282.23019409,196.32702637
0.02310002,0.56322173,99382.09375000,282.25061035,195.95405579
0.02420000,0.56322173,99511.71093750,282.37268066,195.37579346
0.02530001,0.57317538,99640.79687500,282.48712158,194.78733826
0.02640002,0.57317538,99769.60156250,282.59750366,194.19352722
0.02750000,0.57317538,99898.39843750,282.70785522,193.59976196
0.02860001,0.57678323,100044.10156250,282.84869385,192.98469543
0.02970002,0.57678323,100206.55468750,282.92132568,192.58137512
0.03080000,0.56768758,100376.36718750,283.02285767,192.05856323
0.03190001,0.56659402,100538.77343750,283.15954590,191.45353699
0.03300002,0.56659402,100661.46093750,283.26718140,191.09396362
0.03410000,0.57212185,100793.13281250,283.39797974,190.65028381
0.03520001,0.57212185,100932.76562500,283.54934692,190.13194275
0.03630002,0.57657977,101054.96093750,283.70791626,189.68403625
0.03740000,0.56316825,101164.05468750,283.87121582,189.32104492
0.03850001,0.55917197,101291.41406250,284.10589600,188.90158081
0.03960002,0.55917197,101419.69531250,284.34283447,188.47828674
0.04070000,0.55917197,101547.96875000,284.57974243,188.05516052
0.04180001,0.56125393,101707.50000000,284.90045166,187.41604614
0.04290002,0.55130061,101859.64062500,285.31570435,186.75122070
0.04400000,0.55130061,101961.88281250,285.66955566,186.44285583
0.04510001,0.55130061,102064.12500000,286.02343750,186.13581848
0.04620002,0.54951615,102167.08593750,286.37881470,185.83232117
0.04730000,0.54347840,102292.46093750,286.95489502,185.49392700
0.04840001,0.54347840,102417.86718750,287.52975464,185.15873718
0.04950002,0.54347840,102543.27343750,288.10461426,184.82380676
0.05060000,0.55048051,102677.36718750,288.69192505,184.42304993
0.05170001,0.53315115,102817.21875000,289.29168701,155.55728149
0.05280003,0.52990948,102939.63281250,289.89089966,105.89745331
0.05390001,0.53804082,103045.60937500,290.49984741,54.18897629
0.05500001,nan,nan,nan,nan
