arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.58098250,96418.46875000,286.83044434,0.66064250
0.00110000,0.58098250,96589.34375000,286.30734253,69.74554443
0.00220000,0.59447977,96760.51562500,285.70986938,138.84968567
0.00330001,0.59155836,96938.72656250,285.04895020,200.24230957
0.00440001,0.58773288,97094.44531250,284.28051758,200.62532043
0.00549999,0.58773288,97283.33593750,283.65524292,200.58502197
0.00660000,0.58773288,97472.22656250,283.02996826,200.54508972
0.00770000,0.58496877,97652.83593750,282.75149536,200.19511414
0.00880000,0.58496877,97831.11718750,282.66897583,199.65000916
0.00990000,0.59574595,98002.07031250,282.57040405,199.16493225
0.01100000,0.58570261,98148.29687500,282.59378052,198.58398438
0.01210000,0.58570261,98293.12500000,282.71829224,197.83995056
0.01320000,0.58570261,98437.95312500,282.84280396,197.09634399
0.01429999,0.59212194,98575.48437500,282.86874390,196.60952759
0.01539999,0.58585285,98722.75781250,282.89532471,196.15728760
0.01650000,0.57563379,98878.30468750,283.04006958,195.43385315
0.01760000,0.57563379,99023.64843750,283.04638672,195.03500366
0.01870000,0.57563379,99168.99218750,283.05267334,194.63621521
0.01980000,0.58212722,99301.67968750,282.99154663,194.43307495
0.02090000,0.57414920,99422.73437500,282.86154175,194.45420837
0.02200000,0.57414475,99564.13281250,282.83129883,194.22393799
0.02310001,0.56271664,99708.36718750,283.02719116,193.44793701
0.02420001,0.56271664,99832.35937500,283.16696167,192.83320618
0.02530001,0.56271664,99956.35156250,283.30673218,192.21849060
0.02640001,0.55734337,100080.32812500,283.44638062,191.60426331
0.02750001,0.57235809,100210.89062500,283.53829956,191.08651733
0.02859999,0.55827781,100329.07031250,283.50573730,190.88389587
0.02969999,0.55827781,100497.02343750,283.67422485,190.12696838
0.03079999,0.55827781,100664.97656250,283.84271240,189.37010193
0.03189999,0.57198130,100817.04687500,284.03533936,188.59387207
0.03299999,0.56645185,100954.00000000,284.23645020,187.92681885
0.03409999,0.56645185,101097.67187500,284.41790771,187.35098267
0.03520000,0.53936500,101232.00000000,284.50369263,187.00448608
0.03630000,0.53242972,101380.28125000,284.85327148,186.06167603
0.03740000,0.56237678,101518.17968750,285.14950562,185.33593750
0.03850000,0.54016351,101631.06250000,285.27920532,185.22422791
0.03960000,0.54016351,101743.66406250,285.40481567,185.12429810
0.04070000,0.54016351,101856.25781250,285.53042603,185.02464294
0.04180000,0.53537909,101971.14843750,285.65908813,184.90046692
0.04290000,0.53446759,102110.23437500,286.07217407,184.18341064
0.04400001,0.52642787,102228.00000000,286.35827637,184.00588989
0.04510001,0.53292041,102361.48437500,286.78326416,183.47538757
0.04619998,0.53292041,102502.13281250,287.27017212,182.77383423
0.04729998,0.53292041,102642.78125000,287.75714111,182.07283020
0.04839998,0.52697458,102752.29687500,288.29598999,181.89596558
0.04949998,0.52697458,102858.91406250,288.84640503,181.75712585
0.05059999,0.52697458,102965.52343750,289.39682007,181.61875916
0.05169999,0.51865672,103090.21875000,290.10205078,163.81893921
0.05279999,0.52191937,103203.21093750,290.78256226,108.94425201
0.05389999,0.52404765,103327.19531250,291.47698975,54.14262772
0.05500000,nan,nan,nan,nan
