arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.14222243,125316.81250000,300.51321411,89.53884125
0.00110001,0.14222243,125335.10156250,300.13174438,53.00381470
0.00220000,0.14461793,125350.17187500,299.73257446,44.77956390
0.00330001,0.14670025,125348.86718750,299.37423706,50.06068802
0.00440000,0.14802140,125350.27343750,299.01812744,50.40890121
0.00550001,0.14809319,125346.92968750,298.74298096,50.71303940
0.00660000,0.15108718,125327.06250000,298.56375122,51.04951096
0.00770000,0.15018677,125330.53125000,298.43289185,51.25510406
0.00880000,0.15018677,125329.85937500,298.32019043,51.50734711
0.00990000,0.15034894,125324.17187500,298.18618774,51.82311630
0.01100000,0.15192079,125320.52343750,298.06887817,52.10460663
0.01210000,0.15757562,125312.42968750,297.95443726,52.43515015
0.01320000,0.15396148,125303.33593750,297.92785645,52.77182007
0.01430000,0.15413312,125301.10937500,297.95584106,52.83455276
0.01539999,0.15748639,125295.00000000,297.96398926,52.92748260
0.01650000,0.15530799,125290.00781250,297.94357300,53.10401154
0.01759999,0.15338563,125287.28906250,297.95919800,53.18930054
0.01870000,0.15739464,125288.17187500,297.98126221,53.28466797
0.01979999,0.15489058,125292.35937500,297.97677612,53.41824341
0.02090000,0.15587184,125299.20312500,297.92715454,53.70933151
0.02199999,0.15954803,125288.07031250,297.96020508,53.86498642
0.02310000,0.15615372,125278.87500000,298.00338745,53.98435593
0.02420000,0.16189272,125257.82812500,297.98764038,54.27745819
0.02529998,0.15686735,125248.98437500,297.94802856,54.55354309
0.02639999,0.16246751,125246.86718750,297.94824219,54.66537094
0.02750000,0.16246751,125259.86718750,297.97991943,54.68518066
0.02860000,0.15377927,125280.27343750,298.03518677,54.68416595
0.02970001,0.16252828,125289.18750000,298.01855469,54.99343491
0.03079999,0.15862690,125303.18750000,298.01431274,55.26746368
0.03189999,0.16170767,125307.66406250,297.96978760,55.60670471
0.03300000,0.16463529,125330.83593750,297.93664551,55.92902374
0.03410001,0.16442957,125336.67968750,297.91085815,56.31555176
0.03519998,0.16299724,125337.00000000,297.89645386,56.70885468
0.03629999,0.16937510,125327.67187500,297.86593628,57.15905762
0.03740000,0.16937510,125310.80468750,297.83605957,57.60667419
0.03850001,0.17097123,125294.76562500,297.82373047,58.15072632
0.03959998,0.17358224,125287.03906250,297.83526611,58.68565369
0.04069999,0.17292349,125282.81250000,297.91186523,59.03580856
0.04180000,0.17542871,125285.32031250,298.00271606,59.34703827
0.04290000,0.17507213,125286.71875000,298.17849731,59.49443817
0.04399998,0.17507213,125292.24218750,298.40902710,59.58329391
0.04509999,0.17504942,125274.58593750,298.76644897,59.56847763
0.04620000,0.17504942,125221.51562500,299.29757690,59.43056107
0.04730000,0.17244896,125178.08593750,300.15032959,59.03363037
0.04839998,0.17244896,125139.09375000,301.20422363,58.51059341
0.04949998,0.16779937,125098.38281250,303.18154907,57.46100235
0.05059999,0.16857170,125082.03125000,306.27816772,57.02124023
0.05170000,0.16982575,125080.12500000,309.78659058,59.33797073
0.05279998,0.17553902,125085.22656250,313.28540039,64.15681458
0.05389998,0.20099094,125045.21875000,315.30410767,35.63179016
0.05499999,nan,nan,nan,nan
