arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.12879624,152295.57812500,309.14974976,0.26624319
0.00110000,0.12879624,152295.96875000,309.13394165,11.50799751
0.00220000,0.13002743,152295.89062500,309.11657715,22.03368187
0.00329999,0.12990338,152295.25000000,309.09722900,31.64962196
0.00439999,0.12990338,152294.40625000,309.07513428,39.80304337
0.00550001,0.13029960,152293.25000000,309.05508423,45.80171204
0.00659999,0.13029960,152291.18750000,309.04074097,45.84867096
0.00769999,0.13044545,152289.53125000,309.03079224,45.88810349
0.00879998,0.13068998,152287.82812500,309.02505493,45.92975235
0.00990001,0.13068998,152286.10937500,309.01953125,45.97219849
0.01100001,0.13068998,152284.39062500,309.01397705,46.01467133
0.01210001,0.13068998,152282.67187500,309.00845337,46.05716324
0.01320001,0.13068998,152280.95312500,309.00289917,46.09967804
0.01430000,0.13094433,152278.87500000,308.99942017,46.13681412
0.01540000,0.13108451,152275.15625000,308.99630737,46.18303680
0.01650000,0.13108451,152270.81250000,308.99288940,46.23435974
0.01760000,0.13177331,152265.39062500,308.98886108,46.29882050
0.01870000,0.13154809,152258.75000000,308.98419189,46.37763596
0.01979999,0.13154809,152254.14062500,308.98117065,46.42635727
0.02089999,0.13154809,152249.53125000,308.97811890,46.47508240
0.02199999,0.13154809,152244.90625000,308.97506714,46.52380371
0.02309999,0.13210406,152240.64062500,308.97235107,46.56771851
0.02419998,0.13210406,152237.04687500,308.97030640,46.60201263
0.02529998,0.13210406,152233.46875000,308.96826172,46.63633728
0.02639998,0.13292139,152230.04687500,308.96649170,46.66517639
0.02749998,0.13314599,152226.96875000,308.96520996,46.68809891
0.02860001,0.13242239,152224.26562500,308.96417236,46.70671463
0.02970001,0.13233568,152221.65625000,308.96319580,46.72417831
0.03080000,0.13233568,152218.06250000,308.96151733,46.75587082
0.03190000,0.13233568,152214.46875000,308.95986938,46.78757477
0.03300000,0.13288656,152211.12500000,308.95828247,46.81714249
0.03410000,0.13288656,152207.87500000,308.95675659,46.84596252
0.03520000,0.13337127,152203.84375000,308.95462036,46.88830185
0.03629999,0.13337127,152199.79687500,308.95245361,46.93107986
0.03739999,0.13398710,152195.39062500,308.95068359,46.97100067
0.03849999,0.13398710,152190.48437500,308.94940186,47.00688171
0.03959999,0.13398710,152185.57812500,308.94812012,47.04276657
0.04069998,0.13373636,152181.64062500,308.94781494,47.07135391
0.04179998,0.13332828,152179.71875000,308.95144653,47.07223892
0.04289998,0.13304926,152179.14062500,308.95736694,47.05250549
0.04399998,0.13304926,152179.14062500,308.96340942,47.02700424
0.04509998,0.13304926,152179.14062500,308.96945190,47.00151825
0.04620001,0.13304926,152179.12500000,308.97546387,46.97605133
0.04730000,0.13304926,152179.12500000,308.98150635,46.95059967
0.04840000,0.13343308,152178.71875000,308.98873901,46.92817307
0.04950000,0.13325187,152178.37500000,309.00115967,41.99998093
0.05060000,0.13284158,152178.40625000,309.01681519,33.08520126
0.05170000,0.13284158,152177.26562500,309.03002930,24.81562424
0.05279999,0.13284158,152176.14062500,309.04327393,16.54604530
0.05389999,0.13284158,152175.00000000,309.05651855,8.27646828
0.05499999,nan,nan,nan,nan
