arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.57132432,98694.67968750,289.27706909,0.27054018
0.00110000,0.57132432,98867.64062500,288.32754517,88.98564911
0.00220000,0.57193626,99025.75000000,287.27691650,174.06137085
0.00330000,0.57544811,99215.46875000,286.44958496,193.44036865
0.00440000,0.57387531,99394.44531250,285.70043945,193.36660767
0.00550001,0.57320323,99557.30468750,285.02896118,193.28672791
0.00660000,0.57320323,99709.67187500,284.56994629,193.24540710
0.00770000,0.57447628,99869.72656250,284.29681396,192.87203979
0.00880000,0.56925079,100039.89062500,284.25173950,192.10762024
0.00990000,0.56795979,100192.28906250,284.17312622,191.60861206
0.01100000,0.56606870,100373.52343750,284.31848145,190.55422974
0.01210000,0.56513517,100547.82812500,284.28988647,189.95652771
0.01320001,0.55322334,100724.03906250,284.30279541,189.23681641
0.01430000,0.56389876,100850.10156250,284.33096313,188.73323059
0.01540000,0.56389876,100972.32031250,284.43499756,188.09536743
0.01650000,0.55636528,101134.88281250,284.61740112,187.17391968
0.01760001,0.55636528,101267.02343750,284.87512207,186.18832397
0.01870000,0.55591789,101409.89843750,284.85470581,185.80622864
0.01980000,0.54693445,101563.02343750,284.89996338,185.27305603
0.02090001,0.54728922,101720.43750000,284.97964478,184.69546509
0.02200000,0.54242413,101871.67187500,285.08447266,184.05714417
0.02310000,0.54242413,102003.27343750,285.17874146,183.50608826
0.02420001,0.53997443,102137.57031250,285.30084229,182.89018250
0.02530001,0.53500300,102286.16406250,285.49026489,182.11729431
0.02640000,0.52993332,102438.24218750,285.69036865,181.30824280
0.02750001,0.53486533,102568.40625000,285.81918335,180.76133728
0.02860001,0.52911244,102701.03906250,285.95587158,180.22570801
0.02970000,0.53577267,102838.58593750,286.04861450,179.74760437
0.03080000,0.53577267,102948.34375000,286.14556885,179.38436890
0.03189999,0.52922506,103056.80468750,286.25659180,178.97175598
0.03300001,0.53407335,103168.80468750,286.40570068,178.45767212
0.03410000,0.53060472,103299.75000000,286.60931396,177.77502441
0.03520002,0.52677912,103422.96875000,286.68988037,177.48554993
0.03630001,0.52614753,103550.79687500,286.83752441,177.05703735
0.03740000,0.51421768,103700.85937500,287.13745117,176.30482483
0.03850002,0.51421768,103823.48437500,287.35308838,175.90295410
0.03960001,0.51662826,103930.86718750,287.60501099,175.47181702
0.04070000,0.51808692,104056.06250000,287.85214233,175.07827759
0.04180001,0.51808692,104224.93750000,288.15744019,174.45867920
0.04290001,0.51051753,104346.60937500,288.50772095,173.96736145
0.04400000,0.51325856,104458.64062500,288.88604736,173.51876831
0.04510001,0.50413610,104594.29687500,289.33352661,173.00822449
0.04620001,0.50413610,104703.58593750,289.86746216,172.39903259
0.04730000,0.49872371,104801.71875000,290.33975220,171.97323608
0.04840001,0.49893249,104902.14843750,290.79025269,171.74525452
0.04950001,0.50719697,105010.35156250,291.26889038,171.49644470
0.05060002,0.49808494,105134.04687500,291.93090820,170.94718933
0.05170001,0.49465107,105260.92968750,292.90658569,170.27809143
0.05280000,0.48937456,105376.00781250,294.21969604,144.50184631
0.05390002,0.48692142,105437.91406250,295.46075439,76.90314484
0.05500001,nan,nan,nan,nan
