arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.48071038,129511.14062500,301.05419922,0.13333994
0.00110000,0.47448677,129711.21875000,300.55874634,83.79721069
0.00220000,0.47448677,129881.25000000,300.05261230,161.10261536
0.00330000,0.47547320,130002.57812500,299.45858765,164.20826721
0.00440000,0.48325259,130129.54687500,298.91131592,164.26994324
0.00549999,0.47253719,130308.28906250,298.86453247,163.82299805
0.00659999,0.47253719,130480.22656250,298.84048462,163.33773804
0.00770001,0.47240400,130654.49218750,298.90679932,162.65806580
0.00880000,0.47818949,130851.05468750,299.01004028,161.84651184
0.00990000,0.46610405,130978.04687500,299.08666992,161.49305725
0.01100000,0.46487428,131078.64062500,299.16201782,161.16151428
0.01210000,0.46960700,131226.34375000,299.34115601,160.28372192
0.01320000,0.46143800,131373.79687500,299.47433472,159.69958496
0.01430000,0.46508830,131516.95312500,299.62585449,159.01663208
0.01540000,0.45355049,131679.10937500,299.83340454,158.04727173
0.01650000,0.45405818,131754.39062500,299.91006470,157.72261047
0.01759999,0.45742417,131845.75000000,300.02874756,157.27540588
0.01869999,0.45058360,131984.35937500,300.17962646,156.65168762
0.01979999,0.45186210,132148.07812500,300.35989380,155.80001831
0.02090001,0.43933197,132305.82812500,300.53961182,154.84353638
0.02200000,0.44372945,132432.78125000,300.69711304,153.91346741
0.02310000,0.44521783,132550.73437500,300.83361816,153.04695129
0.02420000,0.44489362,132697.23437500,300.88012695,152.78607178
0.02530000,0.44155582,132845.81250000,300.92840576,152.51272583
0.02640000,0.44450238,132959.09375000,300.99481201,152.08425903
0.02750000,0.43722428,133071.17187500,301.03884888,151.74107361
0.02860000,0.43543629,133166.54687500,301.10424805,151.32067871
0.02969999,0.43732052,133282.78125000,301.19302368,150.77871704
0.03079999,0.43628917,133359.25000000,301.18298340,150.55949402
0.03189999,0.43822777,133506.45312500,301.28271484,149.81665039
0.03299999,0.42931428,133657.89062500,301.38345337,149.03115845
0.03409999,0.42899752,133801.14062500,301.45449829,148.44111633
0.03519999,0.42774429,133911.98437500,301.45718384,148.26290894
0.03629999,0.42702770,133991.53125000,301.40237427,148.45147705
0.03739998,0.42760663,134083.29687500,301.41418457,148.12469482
0.03849998,0.42760663,134193.60937500,301.43908691,147.68333435
0.03959998,0.42344356,134281.25000000,301.43502808,147.57762146
0.04069998,0.42734426,134384.21875000,301.47485352,147.20973206
0.04180001,0.42426705,134509.20312500,301.52642822,146.82733154
0.04290001,0.42426705,134614.71875000,301.58206177,146.61164856
0.04400001,0.41592119,134732.10937500,301.65670776,146.18576050
0.04510001,0.42161994,134848.06250000,301.77078247,145.70436096
0.04620000,0.42493869,134979.98437500,301.90420532,145.16209412
0.04730000,0.41913300,135086.60937500,302.03552246,144.89213562
0.04840000,0.41020909,135184.35937500,302.16833496,144.74977112
0.04950000,0.41679636,135325.45312500,302.44943237,144.09303284
0.05060000,0.41587492,135475.20312500,302.77740479,143.33615112
0.05170000,0.41587492,135594.53125000,303.32168579,142.61117554
0.05280000,0.40216348,135704.09375000,303.85449219,141.96519470
0.05390000,0.40645422,135801.17187500,304.53964233,69.56476593
0.05500000,nan,nan,nan,nan
