arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.59944085,95888.84375000,286.18746948,0.82539552
0.00110000,0.59944085,96018.55468750,285.48376465,69.23890686
0.00220001,0.59944085,96148.25781250,284.78002930,137.65330505
0.00330000,0.60979631,96319.63281250,284.18353271,204.76077271
0.00440000,0.61055714,96528.86718750,283.85705566,204.12605286
0.00550000,0.59696234,96755.90625000,283.42355347,203.67126465
0.00660000,0.59561933,96968.08593750,282.85534668,203.51908875
0.00770000,0.59602984,97165.84375000,282.54965210,203.10493469
0.00880001,0.59602984,97341.05468750,282.42953491,202.64985657
0.00990000,0.59916745,97487.15625000,282.27749634,202.37153625
0.01100000,0.59916745,97631.54687500,282.12359619,202.10382080
0.01210001,0.59160614,97782.03125000,282.18859863,201.50744629
0.01320000,0.58650279,97941.38281250,282.32443237,200.75773621
0.01430000,0.58650279,98122.53906250,282.53155518,199.76495361
0.01540001,0.59397779,98288.32812500,282.54449463,199.32746887
0.01650000,0.58002741,98444.78906250,282.53613281,198.95512390
0.01760000,0.58002741,98580.66406250,282.47930908,198.73016357
0.01870001,0.58345618,98737.46875000,282.45556641,198.36123657
0.01980002,0.58278065,98885.92187500,282.49780273,197.88961792
0.02090000,0.58278065,99028.19531250,282.58035278,197.35922241
0.02200001,0.58278065,99170.46875000,282.66290283,196.82885742
0.02310002,0.56490562,99309.13281250,282.68612671,196.45520020
0.02420000,0.56490562,99440.66406250,282.80917358,195.86863708
0.02530001,0.57409448,99572.42187500,282.92050171,195.28775024
0.02640002,0.57409448,99704.29687500,283.02560425,194.70996094
0.02750000,0.57409448,99836.17187500,283.13070679,194.13223267
0.02860001,0.57707433,99984.36718750,283.27062988,193.51963806
0.02970002,0.57707433,100149.14062500,283.35272217,193.11894226
0.03080000,0.56820423,100321.32812500,283.46035767,192.60249329
0.03190001,0.56695826,100486.60156250,283.59722900,192.00831604
0.03300002,0.56695826,100612.88281250,283.70480347,191.65568542
0.03410000,0.57245537,100748.16406250,283.83624268,191.20973206
0.03520001,0.57245537,100891.42187500,283.98889160,190.68098450
0.03630002,0.57686930,101017.00000000,284.14627075,190.25675964
0.03740000,0.56381455,101128.77343750,284.30456543,189.92645264
0.03850001,0.55973207,101258.54687500,284.54360962,189.49681091
0.03960002,0.55973207,101389.25000000,284.78533936,189.06175232
0.04070000,0.55973207,101519.95312500,285.02703857,188.62681580
0.04180001,0.56204953,101682.32031250,285.36373901,187.93597412
0.04290002,0.55165126,101837.35937500,285.77874756,187.25082397
0.04400000,0.55165126,101942.07812500,286.12124634,187.00013733
0.04510001,0.55165126,102046.79687500,286.46371460,186.75079346
0.04620002,0.54988780,102152.24218750,286.80816650,186.50410461
0.04730000,0.54431532,102279.75000000,287.39053345,186.16719055
0.04840001,0.54431532,102407.29687500,287.97174072,185.83346558
0.04950002,0.54431532,102534.83593750,288.55294800,185.49995422
0.05060000,0.55122435,102671.07031250,289.14807129,185.10025024
0.05170001,0.53461521,102812.32812500,289.75155640,156.11521912
0.05280003,0.53151742,102936.32812500,290.33947754,106.24272919
0.05390001,0.53903061,103044.48437500,290.92880249,54.34532928
0.05500001,nan,nan,nan,nan
