arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.57118102,97854.07031250,289.20050049,0.26634660
0.00110000,0.57118102,98015.21093750,288.26947021,90.01766968
0.00219999,0.57838853,98175.07812500,287.35687256,178.00482178
0.00330001,0.58126067,98352.15625000,286.66784668,194.46578979
0.00440000,0.58093507,98537.68750000,285.95703125,194.33091736
0.00550000,0.58093507,98723.26562500,285.24316406,194.19587708
0.00659999,0.57470008,98880.38281250,284.77847290,193.93188477
0.00770000,0.57196424,99054.68750000,284.47372437,193.55540466
0.00880000,0.57735381,99208.78906250,284.40093994,192.96064758
0.00990000,0.57295429,99357.78906250,284.36770630,192.27635193
0.01100000,0.57617524,99528.23437500,284.42819214,191.43045044
0.01210001,0.56363036,99663.71093750,284.48376465,190.77983093
0.01320000,0.56372944,99791.57812500,284.52383423,190.19618225
0.01430000,0.56372944,99913.52343750,284.50384521,189.78710938
0.01540000,0.55560744,100067.21093750,284.62127686,188.98818970
0.01650001,0.56138495,100217.00000000,284.86471558,187.92414856
0.01760000,0.55620755,100364.42187500,285.01013184,187.12565613
0.01870000,0.56067229,100531.61718750,285.17864990,186.24424744
0.01980000,0.54730585,100681.46875000,285.22979736,185.70332336
0.02090001,0.54730585,100824.36718750,285.34149170,185.09187317
0.02200001,0.54730585,100967.27343750,285.45318604,184.48063660
0.02310000,0.53964525,101100.46093750,285.63580322,183.76493835
0.02420000,0.53991045,101200.90625000,285.36087036,184.23706055
0.02530001,0.53738508,101340.57812500,285.58584595,183.39164734
0.02640001,0.53868002,101479.03906250,285.84606934,182.46044922
0.02750000,0.53329759,101599.02343750,285.91308594,182.04676819
0.02860000,0.53928285,101700.89843750,285.92196655,181.88265991
0.02970000,0.53686251,101858.43750000,286.13793945,181.07052612
0.03080001,0.52867605,102003.55468750,286.32681274,180.37712097
0.03189999,0.53482132,102118.56250000,286.43597412,179.99630737
0.03300001,0.53482132,102223.64062500,286.48504639,179.78831482
0.03410001,0.53378328,102347.32812500,286.60705566,179.37498474
0.03520001,0.52330684,102488.56250000,286.87011719,178.64910889
0.03630001,0.52330684,102622.88281250,287.05123901,178.19418335
0.03740000,0.52478161,102755.35156250,287.23336792,177.75413513
0.03850000,0.52478161,102867.12500000,287.42620850,177.47694397
0.03960000,0.51544373,102992.99218750,287.76681519,176.74717712
0.04069999,0.51544373,103120.01562500,288.12313843,175.96800232
0.04180002,0.51916467,103236.38281250,288.49874878,175.41232300
0.04290001,0.51111487,103341.69531250,288.89208984,174.89173889
0.04400001,0.51081821,103463.82031250,289.36477661,174.15626526
0.04510001,0.50697258,103588.17187500,289.83334351,173.51893616
0.04620000,0.50856667,103700.51562500,290.26748657,173.19432068
0.04730000,0.50856667,103814.52343750,290.72332764,172.83116150
0.04840000,0.49593588,103931.14843750,291.10751343,172.63664246
0.04949999,0.49728790,104042.49218750,291.99673462,171.90858459
0.05060002,0.50481818,104164.88281250,292.85314941,171.23500061
0.05170002,0.50481818,104287.25000000,293.65423584,170.68788147
0.05280001,0.49876071,104405.27343750,294.67480469,128.07382202
0.05390001,0.48041511,104500.36718750,295.49615479,65.17153168
0.05500001,nan,nan,nan,nan
