arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.58983710,96846.08593750,286.10052490,0.40003499
0.00110000,0.59538865,96996.19531250,285.06173706,121.13818359
0.00220001,0.59924340,97217.84375000,284.09298706,201.61433411
0.00329999,0.59799885,97451.75000000,283.32247925,201.48645020
0.00440000,0.60137505,97653.73437500,282.60418701,201.48675537
0.00550000,0.59801154,97815.92968750,282.17849731,201.51484680
0.00660000,0.59520302,97974.10156250,281.77178955,201.50846863
0.00770000,0.59652191,98169.56250000,281.62771606,200.97804260
0.00880000,0.59585348,98373.82031250,281.53573608,200.33015442
0.00989999,0.59496122,98536.27343750,281.53179932,199.72660828
0.01100000,0.59373745,98703.27343750,281.51110840,199.19792175
0.01210000,0.59199100,98851.97656250,281.53848267,198.60812378
0.01320000,0.58894684,99023.02343750,281.55233765,198.04013062
0.01430000,0.58862390,99196.31250000,281.57293701,197.44914246
0.01539999,0.58543415,99345.87500000,281.63235474,196.86331177
0.01649999,0.58356255,99484.82812500,281.69738770,196.35577393
0.01760000,0.58356255,99623.32031250,281.76959229,195.83161926
0.01870000,0.58113131,99771.21875000,281.87982178,195.18246460
0.01980000,0.58181933,99919.14062500,282.01571655,194.47856140
0.02090000,0.57791763,100072.29687500,282.05905151,194.02732849
0.02199999,0.57791763,100229.22656250,282.14712524,193.47685242
0.02309999,0.57427270,100339.28906250,282.25500488,192.97016907
0.02420001,0.57266548,100479.46875000,282.35156250,192.42016602
0.02530000,0.57088272,100625.32812500,282.42120361,191.93296814
0.02639999,0.57088272,100760.16406250,282.45346069,191.63418579
0.02750001,0.56590745,100895.54687500,282.49774170,191.29571533
0.02859999,0.56694156,101053.15625000,282.58407593,190.84432983
0.02970001,0.56694156,101212.04687500,282.68585205,190.34367371
0.03080000,0.56373295,101327.98437500,282.71319580,190.10943604
0.03189999,0.56662608,101458.46093750,282.79397583,189.70895386
0.03300000,0.56215055,101587.07031250,282.89947510,189.28306580
0.03409999,0.56361919,101709.00781250,283.05505371,188.74037170
0.03520001,0.55584451,101814.60937500,283.23883057,188.23539734
0.03630000,0.55466798,101956.34375000,283.47958374,187.57084656
0.03739998,0.55586698,102097.78906250,283.70135498,187.06311035
0.03850000,0.54766159,102218.88281250,283.87481689,186.75244141
0.03959999,0.55149491,102357.57812500,284.11029053,186.37258911
0.04070001,0.55149491,102501.35937500,284.34573364,186.03662109
0.04180000,0.54926018,102638.37500000,284.63247681,185.61396790
0.04289998,0.54926018,102767.02343750,284.97238159,185.13357544
0.04400000,0.54766425,102872.62500000,285.33020020,184.72743225
0.04509999,0.54532213,102965.51562500,285.69787598,184.35610962
0.04620000,0.54396385,103114.85156250,286.17327881,183.73265076
0.04729999,0.54190579,103234.35937500,286.64999390,183.24217224
0.04840001,0.53944337,103373.32812500,287.21878052,182.76266479
0.04950000,0.53709931,103507.68750000,287.83688354,182.25654602
0.05059998,0.53270723,103635.32031250,288.70809937,181.56488037
0.05170000,0.53270723,103774.61718750,289.63119507,180.92756653
0.05279999,0.52677682,103903.33593750,290.51409912,137.03125000
0.05390001,0.52504083,104037.74218750,291.38781738,74.51038361
0.05500000,nan,nan,nan,nan
