arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.58294576,97761.97656250,287.39147949,0.34121808
0.00110000,0.58404893,97957.10937500,286.24703979,115.57688904
0.00220001,0.58552597,98145.58593750,285.03955078,198.28228760
0.00329999,0.58608891,98325.09375000,284.19598389,198.35633850
0.00440000,0.58694962,98544.03125000,283.52499390,198.23423767
0.00550000,0.58872101,98709.59375000,283.14846802,198.05409241
0.00660000,0.58883804,98876.57812500,282.86590576,197.82342529
0.00769999,0.58556887,99040.73437500,282.61630249,197.57164001
0.00880000,0.58312851,99208.81250000,282.51687622,197.13464355
0.00990000,0.58686489,99453.92968750,282.55755615,196.22546387
0.01100000,0.58196529,99611.83593750,282.52450562,195.73236084
0.01210000,0.57980941,99752.75000000,282.50247192,195.21673584
0.01319999,0.58109317,99907.14843750,282.43679810,194.87747192
0.01430000,0.57798536,100045.21875000,282.49713135,194.22570801
0.01540000,0.57669794,100206.02343750,282.58761597,193.51191711
0.01650000,0.57530073,100376.05468750,282.68719482,192.81033325
0.01759999,0.57062951,100511.52343750,282.77474976,192.25334167
0.01869999,0.56378410,100651.33593750,282.87103271,191.68087769
0.01980000,0.56573722,100803.72656250,283.00070190,191.01628113
0.02090000,0.55997956,100941.24218750,283.11300659,190.43240356
0.02200000,0.56461431,101068.08593750,283.16467285,190.03752136
0.02309999,0.56770760,101222.32812500,283.23437500,189.53353882
0.02419999,0.55908806,101377.72656250,283.34802246,188.89782715
0.02529998,0.55928443,101538.38281250,283.44625854,188.28424072
0.02640000,0.56027929,101671.84375000,283.48367310,187.94116211
0.02749999,0.55519269,101786.76562500,283.50393677,187.73507690
0.02860001,0.55415983,101909.29687500,283.56848145,187.38949585
0.02969999,0.55415983,102047.87500000,283.62036133,186.99363708
0.03079998,0.55963079,102198.50781250,283.70706177,186.48338318
0.03190000,0.55018569,102314.19531250,283.80255127,186.12255859
0.03299999,0.55018569,102435.81250000,283.93469238,185.65440369
0.03410001,0.54745718,102626.14062500,284.22503662,184.63661194
0.03520000,0.53775032,102776.08593750,284.45336914,183.90646362
0.03629998,0.54315471,102913.29687500,284.66720581,183.37611389
0.03740000,0.54117475,103025.28906250,284.87759399,182.98527527
0.03849999,0.54298962,103130.00781250,285.13604736,182.57237244
0.03960001,0.54053161,103260.95312500,285.32495117,182.43609619
0.04070000,0.53211607,103400.41406250,285.57012939,182.12556458
0.04179998,0.54118287,103509.74218750,285.83865356,181.77940369
0.04290000,0.53790267,103626.85937500,286.17279053,181.31858826
0.04399999,0.53394011,103738.21875000,286.65719604,180.78810120
0.04509998,0.53004422,103845.67968750,287.12084961,180.36184692
0.04620000,0.53058005,103986.01562500,287.58474731,179.86877441
0.04729999,0.52858444,104118.60156250,288.07119751,179.47857666
0.04840000,0.52999719,104222.08593750,288.63262939,179.13650513
0.04949999,0.52398366,104374.34375000,289.41549683,178.28216553
0.05059998,0.51871853,104503.66406250,290.14971924,177.66696167
0.05170000,0.52092240,104623.31250000,290.90625000,177.30413818
0.05279998,0.51557703,104753.92187500,292.01586914,176.45890808
0.05390000,0.51482170,104864.58593750,292.96759033,109.87736511
0.05499999,nan,nan,nan,nan
