arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.49956182,127700.55468750,299.09588623,0.63254023
0.00110000,0.49956182,127836.52343750,298.75640869,60.77054596
0.00220000,0.49659850,127976.75000000,298.41744995,120.76217651
0.00330000,0.49511572,128161.94531250,298.10531616,172.40156555
0.00439999,0.50046024,128321.34375000,297.91152954,172.15592957
0.00550000,0.50046024,128512.58593750,297.72030640,171.82203674
0.00660000,0.49567297,128693.14062500,297.57977295,171.48666382
0.00770001,0.49567297,128837.97656250,297.60861206,171.14503479
0.00880000,0.49567297,128982.82031250,297.63748169,170.80378723
0.00990000,0.49020803,129137.08593750,297.69766235,170.31886292
0.01100000,0.49020803,129289.93750000,297.77987671,169.62965393
0.01210000,0.49020803,129442.78906250,297.86206055,168.94096375
0.01320000,0.48518529,129590.68750000,297.95321655,168.21546936
0.01430001,0.48518529,129691.24218750,298.06100464,167.73675537
0.01540000,0.48893585,129814.10156250,298.17337036,167.19816589
0.01650001,0.48893585,129969.46093750,298.29238892,166.57232666
0.01760000,0.48013004,130111.07031250,298.41561890,166.28814697
0.01870000,0.48013004,130243.92187500,298.53039551,166.12034607
0.01979999,0.47791480,130374.46875000,298.64407349,165.85539246
0.02089999,0.47791480,130508.61718750,298.76834106,165.22050476
0.02200001,0.47791480,130642.77343750,298.89263916,164.58576965
0.02310001,0.47668322,130749.05468750,298.97299194,164.00534058
0.02420000,0.46896931,130860.80468750,299.04122925,163.33810425
0.02530000,0.46896931,130970.39843750,299.07070923,162.80345154
0.02639999,0.47006653,131075.32812500,299.07788086,162.48243713
0.02749999,0.47006653,131191.29687500,299.08554077,162.16137695
0.02860001,0.46619039,131314.17187500,299.10437012,161.80610657
0.02970000,0.46275320,131440.48437500,299.14318848,161.37725830
0.03080000,0.46408129,131531.26562500,299.16668701,161.24296570
0.03189999,0.46408129,131622.35937500,299.18945312,161.11953735
0.03299999,0.46879947,131733.85937500,299.21694946,160.91546631
0.03410001,0.46137287,131861.26562500,299.25430298,160.51031494
0.03520001,0.46137287,132005.73437500,299.30529785,159.81979370
0.03630000,0.46137287,132150.20312500,299.35629272,159.12948608
0.03740000,0.45847231,132277.57812500,299.40036011,158.57678223
0.03849999,0.45847231,132372.82812500,299.41470337,158.33139038
0.03959999,0.45847231,132468.06250000,299.42907715,158.08616638
0.04070001,0.45512761,132575.01562500,299.43786621,157.88088989
0.04180000,0.45103343,132689.35937500,299.47097778,157.64006042
0.04290000,0.45103343,132795.67187500,299.49884033,157.43304443
0.04400000,0.45360083,132903.39062500,299.50628662,157.25109863
0.04509999,0.45422596,133024.35937500,299.57922363,156.90367126
0.04620001,0.45155687,133155.57812500,299.68267822,156.50617981
0.04730001,0.45155687,133289.95312500,299.79388428,156.06849670
0.04840000,0.45101195,133416.37500000,299.97540283,155.59582520
0.04950000,0.45101195,133522.79687500,300.33377075,155.03454590
0.05059999,0.45101195,133629.21875000,300.69219971,154.47372437
0.05169999,0.43731550,133742.65625000,301.03976440,147.92541504
0.05280001,0.43732945,133845.92187500,301.43542480,98.46396637
0.05390000,0.43732945,133958.76562500,301.83096313,48.91723251
0.05500000,nan,nan,nan,nan
