arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.12729129,152232.90625000,309.12182617,0.33012566
0.00110000,0.12779948,152232.81250000,309.10128784,11.97804832
0.00220001,0.12779948,152233.25000000,309.08096313,23.61591911
0.00329999,0.12827292,152233.65625000,309.06085205,35.14756775
0.00440000,0.12894350,152233.21875000,309.04373169,43.96826553
0.00550000,0.12903232,152231.73437500,309.03244019,45.32430649
0.00660000,0.12853183,152230.28125000,309.02191162,45.38016510
0.00770001,0.12853183,152229.14062500,309.01092529,45.43431854
0.00880001,0.12851048,152228.07812500,308.99932861,45.48696518
0.00990001,0.12856513,152227.01562500,308.98739624,45.53699875
0.01100001,0.12921928,152224.31250000,308.98001099,45.60278320
0.01210002,0.13011165,152221.03125000,308.97583008,45.66461182
0.01319999,0.13011165,152217.21875000,308.97155762,45.72976303
0.01429999,0.13011165,152213.42187500,308.96725464,45.79493332
0.01540000,0.13011165,152209.60937500,308.96295166,45.86012268
0.01650000,0.13011165,152205.81250000,308.95864868,45.92532730
0.01760000,0.13064624,152203.51562500,308.95678711,45.96439362
0.01870001,0.13064624,152202.01562500,308.95587158,45.99229431
0.01980001,0.13064624,152200.53125000,308.95492554,46.02020645
0.02090001,0.13064624,152199.03125000,308.95397949,46.04812622
0.02200001,0.13060550,152197.31250000,308.95291138,46.07875443
0.02310002,0.13116576,152194.32812500,308.95114136,46.12492371
0.02420002,0.13116576,152188.28125000,308.94741821,46.20866776
0.02529999,0.13121107,152182.95312500,308.94409180,46.28157425
0.02640000,0.13211532,152179.01562500,308.94165039,46.34201431
0.02750000,0.13211532,152174.32812500,308.93884277,46.40794373
0.02860000,0.13211532,152169.64062500,308.93603516,46.47390366
0.02970000,0.13240432,152166.35937500,308.93408203,46.52416611
0.03080001,0.13240432,152163.95312500,308.93261719,46.56485367
0.03190001,0.13313781,152161.25000000,308.93093872,46.61094284
0.03300001,0.13261196,152157.06250000,308.92855835,46.66967010
0.03410001,0.13261196,152151.71875000,308.92565918,46.73331451
0.03520002,0.13261196,152146.35937500,308.92276001,46.79696274
0.03630002,0.13319982,152141.15625000,308.92025757,46.85379410
0.03740000,0.13319982,152136.39062500,308.91876221,46.89159775
0.03850000,0.13348894,152133.09375000,308.91812134,46.91824341
0.03960000,0.13291191,152130.84375000,308.91821289,46.93506622
0.04070000,0.13291191,152128.71875000,308.91867065,46.94688034
0.04180001,0.13291191,152126.60937500,308.91909790,46.95870972
0.04290001,0.13317307,152125.20312500,308.92114258,46.98393250
0.04400001,0.13317307,152123.85937500,308.92330933,47.01129913
0.04510001,0.13360965,152122.64062500,308.93154907,47.02095032
0.04620002,0.13306937,152121.59375000,308.94082642,47.02426147
0.04730002,0.13306937,152120.62500000,308.94918823,47.02746964
0.04840002,0.13306937,152119.67187500,308.95751953,47.03070450
0.04950000,0.13355290,152120.07812500,308.96774292,44.64265823
0.05060000,0.13407479,152121.87500000,308.98239136,35.95492172
0.05170000,0.13407479,152124.10937500,308.99728394,27.35979843
0.05280001,0.13306593,152126.39062500,309.01220703,18.72410011
0.05390001,0.13252049,152128.04687500,309.02737427,9.25326920
0.05500001,nan,nan,nan,nan
