arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.58049282,96312.37500000,286.77444458,0.66013819
0.00110000,0.58049282,96482.89062500,286.25143433,69.69229889
0.00220000,0.59402173,96654.26562500,285.65219116,138.74130249
0.00330001,0.59106302,96832.94531250,284.98806763,200.08332825
0.00440001,0.58727719,96989.09375000,284.21902466,200.47343445
0.00549999,0.58727719,97177.05468750,283.58972168,200.44442749
0.00660000,0.58727719,97365.02343750,282.96038818,200.41577148
0.00770000,0.58445585,97545.39843750,282.67999268,200.05706787
0.00880000,0.58445585,97723.70312500,282.59649658,199.49278259
0.00990000,0.59533252,97894.64062500,282.49755859,198.99401855
0.01100000,0.58525145,98040.63281250,282.51989746,198.40910339
0.01210000,0.58525145,98185.16406250,282.64187622,197.65678406
0.01320000,0.58525145,98329.69531250,282.76385498,196.90492249
0.01429999,0.59170212,98466.85937500,282.78912354,196.41401672
0.01539999,0.58536730,98614.01562500,282.81710815,195.96116638
0.01650000,0.57505051,98769.92968750,282.96188354,195.23495483
0.01760000,0.57505051,98915.98437500,282.96817017,194.83689880
0.01870000,0.57505051,99062.03906250,282.97445679,194.43890381
0.01980000,0.58165056,99195.32812500,282.91510010,194.23925781
0.02090000,0.57354619,99316.82812500,282.78921509,194.26649475
0.02200000,0.57357433,99458.77343750,282.76129150,194.03820801
0.02310001,0.56203457,99603.65625000,282.95681763,193.25776672
0.02420001,0.56203457,99728.32031250,283.09622192,192.64088440
0.02530001,0.56203457,99852.98437500,283.23562622,192.02403259
0.02640001,0.56203457,99977.65625000,283.37500000,191.40719604
0.02750001,0.57186525,100109.21093750,283.46911621,190.89456177
0.02859999,0.55775327,100228.93750000,283.44165039,190.70690918
0.02969999,0.55775327,100398.93750000,283.60955811,189.94921875
0.03079999,0.55775327,100568.94531250,283.77746582,189.19158936
0.03189999,0.57167337,100722.96093750,283.97119141,188.41642761
0.03299999,0.56609784,100862.14062500,284.17416382,187.75262451
0.03409999,0.56609784,101008.32812500,284.35626221,187.17951965
0.03520000,0.53872371,101145.32812500,284.44436646,186.84246826
0.03630000,0.53182869,101295.87500000,284.79061890,185.89125061
0.03740000,0.56212505,101436.04687500,285.08544922,185.16302490
0.03850000,0.53949719,101550.94531250,285.21463013,185.06109619
0.03960000,0.53949719,101665.57031250,285.33972168,184.97122192
0.04070000,0.53949719,101780.18750000,285.46481323,184.88162231
0.04180000,0.53474498,101897.96093750,285.59020996,184.76409912
0.04290000,0.53376051,102039.49218750,285.98724365,184.03424072
0.04400001,0.52573279,102159.61718750,286.25640869,183.84968567
0.04510001,0.53239412,102295.67968750,286.67019653,183.32014465
0.04619998,0.53239412,102438.90625000,287.14630127,182.61903381
0.04729998,0.53239412,102582.13281250,287.62240601,181.91848755
0.04839998,0.52638403,102693.18750000,288.16006470,181.75199890
0.04949998,0.52638403,102801.22656250,288.70932007,181.62387085
0.05059999,0.52638403,102909.26562500,289.25857544,181.49621582
0.05169999,0.51828293,103035.34375000,289.96102905,163.71949768
0.05279999,0.52146742,103149.07031250,290.62771606,108.90750885
0.05389999,0.52391035,103273.92187500,291.31369019,54.15603638
0.05500000,nan,nan,nan,nan
