arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.57721203,97380.21093750,289.18948364,0.26743120
0.00110000,0.57721203,97542.79687500,288.37771606,58.36711502
0.00220000,0.57732141,97712.54687500,287.48043823,120.02672577
0.00330000,0.57732141,97894.93750000,286.44506836,188.12155151
0.00440000,0.57339864,98078.76562500,285.82492065,194.39630127
0.00549999,0.57339864,98267.43750000,285.56924438,193.71499634
0.00660000,0.57578652,98491.42968750,285.17987061,193.07910156
0.00770000,0.57297767,98717.17187500,284.77972412,192.45397949
0.00879999,0.57297767,98795.95312500,284.61505127,192.27989197
0.00990000,0.57428031,98909.00000000,284.47116089,191.97711182
0.01100000,0.56482659,99047.30468750,284.46115112,191.35508728
0.01209999,0.56482659,99203.88281250,284.53054810,190.60922241
0.01320000,0.56482659,99360.46875000,284.59994507,189.86340332
0.01430000,0.55537483,99533.16406250,284.61965942,189.23768616
0.01540000,0.55537483,99707.88281250,284.41079712,189.25183105
0.01649999,0.55497152,99870.93750000,284.50820923,188.60049438
0.01759999,0.55850142,100032.21875000,284.76266479,187.60058594
0.01870000,0.55850142,100192.45312500,284.90017700,186.82557678
0.01979999,0.54853598,100322.98437500,284.93908691,186.37234497
0.02089998,0.54853598,100436.98437500,284.93133545,186.09368896
0.02200000,0.54922543,100568.96093750,284.96115112,185.67254639
0.02309999,0.54088903,100727.55468750,285.19924927,184.62161255
0.02419998,0.54841901,100889.63281250,285.43484497,183.59819031
0.02530000,0.54115281,101037.27343750,285.62911987,182.73889160
0.02639999,0.53864896,101144.00000000,285.59765625,182.55978394
0.02750001,0.54003755,101279.08593750,285.76641846,181.83645630
0.02860000,0.53326125,101421.16406250,286.05615234,180.78384399
0.02969999,0.53496232,101557.89843750,286.21536255,180.06935120
0.03080001,0.53214253,101684.78906250,286.37777710,179.36575317
0.03190000,0.53214253,101770.39843750,286.52883911,178.72904968
0.03299999,0.53022819,101858.72656250,286.60818481,178.30136108
0.03410001,0.52087320,101995.53906250,286.63885498,178.09133911
0.03520000,0.52087320,102143.68750000,286.60391235,178.09124756
0.03629999,0.51847617,102284.82031250,286.89514160,177.24325562
0.03740001,0.51847617,102423.87500000,287.12133789,176.64746094
0.03850000,0.51313369,102542.10937500,287.19430542,176.56181335
0.03959999,0.51201036,102653.30468750,287.35159302,176.40217590
0.04070001,0.51201036,102771.54687500,287.58520508,176.02900696
0.04180000,0.52584109,102894.22656250,287.79403687,175.75183105
0.04289998,0.50862220,103026.65625000,288.11669922,175.33596802
0.04400000,0.50862220,103146.31250000,288.31091309,175.32687378
0.04510000,0.50715806,103268.60937500,288.50973511,175.29859924
0.04619998,0.50198089,103388.60937500,288.80004883,175.14382935
0.04730000,0.50932191,103509.79687500,289.28216553,174.76596069
0.04840000,0.50932191,103631.51562500,289.76574707,174.38208008
0.04949998,0.51073719,103765.71093750,290.39135742,173.69561768
0.05060000,0.49850631,103897.91406250,291.09704590,169.41433716
0.05169999,0.49850631,103992.37500000,291.98730469,130.57690430
0.05279998,0.49077036,104085.20312500,292.83514404,94.64407349
0.05390000,0.49134454,104176.82031250,293.63342285,55.37802887
0.05499999,nan,nan,nan,nan
