arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.12670599,125532.18750000,302.38922119,89.55303192
0.00110000,0.12670599,125558.35156250,302.07925415,54.40857315
0.00220000,0.12841466,125578.21093750,301.71630859,44.35213852
0.00330000,0.13094824,125574.76562500,301.27902222,44.91615295
0.00439999,0.13083038,125579.56250000,300.87951660,45.53068542
0.00550000,0.13348155,125580.59375000,300.59103394,45.96432114
0.00660000,0.13411656,125586.79687500,300.41436768,46.30682373
0.00770001,0.13418758,125601.53125000,300.32110596,46.59752274
0.00880000,0.13682610,125614.74218750,300.24310303,46.82357788
0.00990000,0.13457141,125621.86718750,300.18713379,47.17616272
0.01100000,0.13676260,125633.98437500,300.14306641,47.25968170
0.01210000,0.13657980,125644.89062500,300.12496948,47.43052292
0.01320000,0.13746853,125656.29687500,300.12142944,47.61056137
0.01430001,0.13938655,125653.00000000,300.07714844,47.88159943
0.01540000,0.13938655,125655.04687500,300.03836060,48.20546722
0.01650001,0.14058253,125668.89062500,300.06579590,48.51554871
0.01760000,0.14052093,125691.22656250,300.12863159,48.81492615
0.01870000,0.14170198,125711.35156250,300.19000244,49.06708145
0.01979999,0.14170198,125723.88281250,300.21322632,49.22651672
0.02089999,0.14302229,125719.60156250,300.26937866,49.46898270
0.02200001,0.14249876,125722.01562500,300.37258911,49.72825623
0.02310001,0.14522828,125729.72656250,300.40286255,49.97476959
0.02420000,0.14522828,125741.71875000,300.46237183,50.25872803
0.02530000,0.14618349,125763.06250000,300.52456665,50.56705475
0.02639999,0.14618349,125788.26562500,300.55081177,50.82213211
0.02749999,0.14755149,125807.90625000,300.58200073,51.05869293
0.02860001,0.14652295,125811.80468750,300.60812378,51.43201828
0.02970000,0.14917497,125818.63281250,300.59295654,51.68168259
0.03080000,0.15027409,125827.19531250,300.51437378,51.91395569
0.03189999,0.15094327,125846.00781250,300.54885864,52.24262619
0.03299999,0.15024382,125854.95312500,300.55801392,52.68317413
0.03410001,0.15216255,125866.24218750,300.56323242,53.22716904
0.03520001,0.15391156,125896.48437500,300.64834595,53.73514938
0.03630000,0.15685125,125916.74218750,300.66732788,54.19643021
0.03740000,0.15631091,125922.91406250,300.65869141,54.55880737
0.03849999,0.15631091,125931.39843750,300.64761353,54.76914215
0.03959999,0.15864689,125955.42187500,300.74615479,55.12490082
0.04070001,0.15864689,125970.50781250,300.90856934,55.46537018
0.04180000,0.16044495,125967.66406250,301.10406494,55.80408478
0.04290000,0.16150199,125961.27343750,301.37506104,56.16901016
0.04400000,0.16150199,125970.53906250,301.74838257,56.52329254
0.04509999,0.16395943,125981.07031250,302.26763916,56.84170914
0.04620001,0.16175485,126007.91406250,303.34652710,56.89183426
0.04730001,0.16453089,126038.78125000,304.57977295,56.80964279
0.04840000,0.15995146,126043.66406250,306.15512085,57.08034515
0.04950000,0.15911204,126062.58593750,307.62677002,57.73255157
0.05059999,0.17022957,126106.80468750,308.97637939,60.30042267
0.05169999,0.17290328,126153.26562500,310.36184692,64.33684540
0.05280001,0.21122379,126230.54687500,310.92300415,59.28898621
0.05390000,0.20497842,126347.00000000,309.70947266,28.20076942
0.05500000,nan,nan,nan,nan
