arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.57878482,97265.27343750,288.88751221,0.19283092
0.00110000,0.57455552,97445.31250000,288.21783447,51.18795395
0.00220000,0.57455552,97629.33593750,287.55261230,104.80579376
0.00330000,0.57065343,97800.28125000,286.73846436,158.25311279
0.00440000,0.57622484,97966.32812500,285.84310913,196.76162720
0.00549999,0.57746570,98170.98437500,285.59509277,196.01065063
0.00660000,0.57746570,98382.07031250,285.39334106,195.14016724
0.00770000,0.58108984,98581.07812500,285.04776001,194.58642578
0.00879999,0.56965206,98743.60156250,284.85531616,194.18386841
0.00990000,0.57008241,98871.38281250,284.60800171,194.15211487
0.01100000,0.57008241,98983.25781250,284.54293823,193.85461426
0.01209999,0.56795190,99095.23437500,284.47689819,193.56013489
0.01320000,0.56411201,99221.36718750,284.33749390,193.43498230
0.01430000,0.55572533,99367.50781250,284.48025513,192.61094666
0.01540000,0.55908437,99511.65625000,284.44699097,192.15884399
0.01650000,0.55537825,99662.90625000,284.46304321,191.57084656
0.01760000,0.55735235,99811.35937500,284.85467529,190.21133423
0.01870000,0.55735235,99937.98437500,284.87133789,189.79647827
0.01979999,0.54900551,100072.11718750,284.95910645,189.22740173
0.02090000,0.54900551,100203.92968750,284.96685791,188.88737488
0.02200000,0.55369364,100347.10937500,284.98223877,188.51400757
0.02309999,0.54957607,100491.68750000,284.99035645,188.17744446
0.02420000,0.54957607,100643.97656250,285.23986816,187.25114441
0.02530000,0.54784437,100790.01562500,285.17636108,187.08131409
0.02639999,0.54784437,100934.14062500,285.01678467,187.14413452
0.02749999,0.54665303,101066.33593750,285.19671631,186.47756958
0.02860000,0.54058869,101203.04687500,285.55737305,185.39195251
0.02969999,0.54058869,101340.78125000,285.93368530,184.26823425
0.03079999,0.53746554,101473.66406250,286.20108032,183.44102478
0.03190000,0.53746554,101592.87500000,286.19400024,183.33175659
0.03299999,0.53746554,101712.08593750,286.18688965,183.22250366
0.03409999,0.53325024,101824.34375000,286.09521484,183.34399414
0.03519998,0.53325024,101935.93750000,286.24984741,182.97659302
0.03629998,0.53240298,102056.18750000,286.44427490,182.52107239
0.03740000,0.53240298,102185.10937500,286.64633179,182.05795288
0.03850000,0.52977266,102320.07812500,286.92163086,181.45126343
0.03959999,0.52478554,102460.31250000,287.25042725,180.74877930
0.04069999,0.51929457,102601.21875000,287.60086060,180.00028992
0.04179998,0.52589889,102733.99218750,287.93276978,179.41123962
0.04289998,0.51416939,102839.31250000,288.21908569,179.19557190
0.04400001,0.51333280,102959.49218750,288.60479736,178.83665466
0.04510000,0.51333280,103091.51562500,289.12438965,178.18435669
0.04619999,0.51333280,103223.53125000,289.64401245,177.53292847
0.04729999,0.51761824,103354.60937500,290.15963745,176.97576904
0.04839999,0.50689789,103457.21875000,290.87973022,176.41737366
0.04949998,0.51269647,103552.69531250,291.59057617,175.93508911
0.05059998,0.51269647,103657.06250000,292.16961670,175.63584900
0.05170000,0.50576888,103761.55468750,292.78335571,156.46345520
0.05280000,0.49805333,103866.46875000,293.45324707,107.26200867
0.05390000,0.49805333,103978.56250000,294.16110229,54.17168045
0.05499999,nan,nan,nan,nan
