arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.48066364,127932.46093750,299.47058105,0.45112190
0.00110000,0.48066364,128108.39843750,299.12051392,62.97635651
0.00220000,0.48066364,128284.34375000,298.77047729,125.50146484
0.00330001,0.48017117,128452.29687500,298.46566772,167.03138733
0.00440001,0.48492757,128596.39062500,298.24270630,166.77256775
0.00549999,0.48492757,128740.73437500,298.01617432,166.53324890
0.00660000,0.47978618,128872.03906250,297.90338135,166.34597778
0.00770000,0.47978618,128995.33593750,297.86032104,166.19064331
0.00880000,0.48497061,129125.62500000,297.83071899,165.98458862
0.00990000,0.47863468,129294.75781250,297.93530273,165.27925110
0.01100000,0.47863468,129470.97656250,298.05279541,164.50238037
0.01210000,0.46855859,129623.21875000,298.17321777,163.78071594
0.01320000,0.47046028,129731.68750000,298.29235840,163.08937073
0.01429999,0.46903617,129841.71875000,298.40390015,162.52644348
0.01539999,0.46903617,129951.96875000,298.51296997,161.97508240
0.01650000,0.46322615,130069.20312500,298.62689209,161.41378784
0.01760000,0.46770851,130210.30468750,298.72640991,160.91427612
0.01870000,0.46770851,130338.13281250,298.80880737,160.61761475
0.01980000,0.45750218,130451.11718750,298.90435791,160.33570862
0.02090000,0.45530158,130567.53906250,299.02868652,159.70518494
0.02200000,0.45717850,130693.64843750,299.13800049,159.00196838
0.02310001,0.46283857,130823.13281250,299.26635742,158.28091431
0.02420001,0.45594051,130928.60937500,299.33258057,157.83212280
0.02530001,0.45594051,131017.46875000,299.35723877,157.74240112
0.02640001,0.45594051,131106.32812500,299.38189697,157.65269470
0.02750001,0.45406219,131211.29687500,299.40408325,157.44284058
0.02859999,0.45406219,131323.20312500,299.42712402,157.15240479
0.02969999,0.45406219,131435.09375000,299.45016479,156.86201477
0.03079999,0.44817076,131531.95312500,299.49459839,156.45259094
0.03189999,0.44817076,131602.21875000,299.51730347,156.09591675
0.03299999,0.45011869,131673.17187500,299.53961182,155.73995972
0.03409999,0.44687900,131760.21875000,299.56466675,155.36607361
0.03520000,0.44393638,131918.90625000,299.61706543,154.74612427
0.03630000,0.44393638,132084.15625000,299.67193604,154.08245850
0.03740000,0.43991981,132215.17187500,299.70101929,153.64561462
0.03850000,0.44405129,132313.56250000,299.70156860,153.53701782
0.03960000,0.44405129,132415.73437500,299.70840454,153.37570190
0.04070000,0.44405129,132517.90625000,299.71520996,153.21449280
0.04180000,0.43654157,132621.43750000,299.74832153,152.88952637
0.04290000,0.44127388,132734.60937500,299.79760742,152.48873901
0.04400001,0.44127388,132833.81250000,299.85589600,152.13835144
0.04510001,0.44350377,132940.29687500,299.91717529,151.75683594
0.04619998,0.43540590,133054.50000000,300.01956177,151.37187195
0.04729998,0.43540590,133181.54687500,300.15002441,150.98329163
0.04839998,0.43540590,133308.59375000,300.28048706,150.59495544
0.04949998,0.43380126,133422.35937500,300.59991455,150.01412964
0.05059999,0.43380126,133531.28125000,300.98809814,149.36349487
0.05169999,0.42644491,133639.42187500,301.38153076,148.70954895
0.05279999,0.42271221,133726.07812500,301.76226807,102.92057037
0.05389999,0.42271221,133817.10937500,302.14566040,51.24717331
0.05500000,nan,nan,nan,nan
