arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.48140116,128510.99218750,300.75445557,0.71560025
0.00110000,0.48140116,128646.70312500,300.46142578,53.84099579
0.00220000,0.48140116,128782.41406250,300.16842651,106.96572876
0.00330000,0.48124342,128939.32031250,299.83459473,161.92715454
0.00440000,0.48289121,129078.83593750,299.54663086,167.46403503
0.00550001,0.48012237,129238.13281250,299.27560425,167.28578186
0.00660000,0.48012237,129399.18750000,299.00637817,167.09616089
0.00770000,0.48036436,129539.69531250,298.92480469,166.84149170
0.00880000,0.48036436,129671.99218750,298.91821289,166.56094360
0.00990000,0.48379578,129805.68750000,298.91729736,166.26060486
0.01100000,0.48179210,129964.02343750,298.92382812,165.85081482
0.01210000,0.47181642,130116.28125000,299.02896118,165.27900696
0.01320001,0.47181642,130261.30468750,299.16497803,164.61903381
0.01430000,0.47181642,130406.32812500,299.30099487,163.95960999
0.01540000,0.47181642,130551.35156250,299.43701172,163.30073547
0.01650000,0.46532494,130686.35937500,299.59048462,162.65864563
0.01760001,0.46532494,130804.02343750,299.67037964,162.32650757
0.01870000,0.46532494,130921.68750000,299.75030518,161.99464417
0.01980000,0.46566709,131052.60156250,299.84313965,161.57423401
0.02090001,0.46486971,131174.85937500,299.88085938,161.22697449
0.02200000,0.46486971,131316.60937500,299.88385010,160.86300659
0.02310000,0.46486971,131458.34375000,299.88681030,160.49911499
0.02420001,0.46163036,131602.17187500,299.88391113,160.16900635
0.02530001,0.45955509,131753.75000000,300.00424194,159.66352844
0.02640000,0.45768192,131873.32812500,300.04473877,159.27198792
0.02750001,0.45768192,131997.76562500,300.06115723,158.87986755
0.02860001,0.45405462,132112.06250000,300.08056641,158.54966736
0.02970000,0.45405462,132220.32812500,300.10174561,158.25619507
0.03080000,0.45721940,132330.53125000,300.15399170,157.85891724
0.03189999,0.45151985,132452.65625000,300.22909546,157.38435364
0.03300001,0.45151985,132557.64062500,300.19628906,157.14259338
0.03410000,0.45151985,132662.62500000,300.16345215,156.90087891
0.03520002,0.45246587,132765.73437500,300.13235474,156.64817810
0.03630001,0.45022717,132879.34375000,300.13555908,156.40800476
0.03740000,0.45130955,133001.85937500,300.07192993,156.28569031
0.03850002,0.44685782,133128.31250000,300.03829956,156.06550598
0.03960001,0.45182614,133252.48437500,300.05526733,155.73887634
0.04070000,0.44587532,133372.70312500,300.06478882,155.42199707
0.04180001,0.44587532,133497.82812500,300.13442993,154.96643066
0.04290001,0.44587532,133622.95312500,300.20404053,154.51129150
0.04400000,0.44186006,133740.12500000,300.35903931,153.87347412
0.04510001,0.44186006,133835.03125000,300.56280518,153.17521667
0.04620001,0.44186006,133929.95312500,300.76654053,152.47756958
0.04730000,0.43525946,134029.09375000,300.95867920,151.81042480
0.04840001,0.43019943,134140.23437500,301.14971924,151.34509277
0.04950001,0.43019943,134260.70312500,301.33743286,150.82043457
0.05060002,0.43019943,134381.15625000,301.52514648,150.29655457
0.05170001,0.42658025,134491.12500000,301.71560669,130.07685852
0.05280000,0.42658025,134589.43750000,301.90911865,87.95363617
0.05390002,0.42658025,134687.75000000,302.10266113,45.82978821
0.05500001,nan,nan,nan,nan
