arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.60374133,96131.79687500,285.22549438,0.25501087
0.00110000,0.60079563,96366.40625000,284.44628906,105.19931030
0.00220000,0.60505998,96575.45312500,283.58139038,204.50965881
0.00330000,0.60792407,96734.00781250,282.86196899,204.63185120
0.00439999,0.60986972,96894.79687500,282.32104492,204.58151245
0.00549999,0.60986972,97054.70312500,281.78195190,204.53158569
0.00660001,0.60807554,97241.50781250,281.42834473,204.28981018
0.00770001,0.60972815,97437.01562500,281.17550659,203.93472290
0.00880000,0.60672667,97616.53906250,281.09399414,203.37158203
0.00990000,0.60584287,97782.85937500,281.03701782,202.86053467
0.01100000,0.60755168,97977.78906250,281.03372192,202.23049927
0.01210000,0.60714050,98179.66406250,281.06661987,201.51875305
0.01320000,0.59998333,98306.87500000,281.06109619,201.06614685
0.01430000,0.59477980,98440.02343750,281.09082031,200.50761414
0.01540000,0.59106833,98597.40625000,281.14160156,199.97821045
0.01650001,0.59503120,98766.17968750,281.20739746,199.39848328
0.01760001,0.59386743,98926.22656250,281.31051636,198.74818420
0.01870001,0.58941774,99060.48437500,281.40869141,198.15211487
0.01980000,0.58983000,99229.40625000,281.50762939,197.51449585
0.02090000,0.59042672,99369.57812500,281.54016113,197.19407654
0.02200000,0.59042672,99507.13281250,281.56829834,196.89463806
0.02310000,0.58508767,99659.10156250,281.65118408,196.34460449
0.02420001,0.58508767,99825.52343750,281.73413086,195.73036194
0.02530000,0.58348769,99990.93750000,281.79357910,195.20458984
0.02640001,0.57983568,100126.79687500,281.91436768,194.53837585
0.02750000,0.57622273,100261.59375000,282.02136230,193.92703247
0.02860001,0.57509311,100382.63281250,282.01843262,193.73951721
0.02969999,0.57509311,100492.32812500,282.00717163,193.59890747
0.03080001,0.57898689,100586.88281250,282.02059937,193.41857910
0.03189999,0.57698042,100710.11718750,282.11309814,192.98603821
0.03300000,0.57155310,100892.53125000,282.32150269,192.20571899
0.03410001,0.56917201,101076.91406250,282.59463501,191.25703430
0.03520000,0.57100711,101207.44531250,282.79690552,190.62771606
0.03630001,0.56426487,101350.18750000,282.93087769,190.23187256
0.03740000,0.56426487,101485.71875000,282.98101807,190.11364746
0.03850001,0.56627246,101617.82031250,283.06982422,189.97816467
0.03960000,0.56627246,101756.00000000,283.15792847,189.84678650
0.04070001,0.56312885,101888.07031250,283.37872314,189.45472717
0.04179999,0.56312885,102037.35156250,283.72412109,188.84713745
0.04290001,0.56063932,102182.65625000,284.12359619,188.10847473
0.04400002,0.55544878,102318.92968750,284.49325562,187.54652405
0.04510000,0.55544878,102437.35156250,284.90179443,187.02423096
0.04620001,0.55544878,102555.77343750,285.31036377,186.50285339
0.04730000,0.55058349,102689.46093750,285.73559570,185.92568970
0.04840001,0.54674751,102793.50000000,286.27139282,185.34042358
0.04950000,0.54541871,102946.87500000,286.94995117,184.99099731
0.05060001,0.54451985,103079.33593750,287.73941040,184.48608398
0.05169999,0.54346149,103205.27343750,288.57369995,183.83624268
0.05280001,0.53674348,103353.32812500,289.35589600,129.86474609
0.05389999,0.53674348,103504.64843750,290.11703491,60.91625595
0.05500000,nan,nan,nan,nan
