arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.44109714,129318.82031250,303.38131714,0.21703142
0.00110000,0.44074656,129408.23437500,302.97723389,57.33723450
0.00220000,0.44074656,129522.20312500,302.60632324,111.41976929
0.00330000,0.44107988,129640.28125000,302.23669434,155.26983643
0.00440000,0.44107988,129775.91406250,301.87268066,155.28247070
0.00550000,0.44107988,129911.55468750,301.50863647,155.29629517
0.00660000,0.44223120,130067.11718750,301.24685669,155.13703918
0.00769999,0.43841887,130198.60937500,301.30685425,154.68054199
0.00879999,0.43841887,130334.29687500,301.39889526,154.10719299
0.00990000,0.43358957,130466.68750000,301.50064087,153.52064514
0.01099999,0.43358957,130580.96093750,301.69076538,152.63305664
0.01209999,0.43017493,130697.91406250,301.82916260,151.89489746
0.01319999,0.43017493,130818.55468750,301.89645386,151.36241150
0.01430000,0.42555259,130938.07812500,302.00485229,150.76644897
0.01540001,0.42555259,131063.01562500,302.13803101,150.07621765
0.01650000,0.42289242,131188.42187500,302.25338745,149.47862244
0.01760000,0.42811873,131316.12500000,302.30364990,149.16969299
0.01870000,0.42160630,131420.85937500,302.30734253,148.95538330
0.01980000,0.42160630,131525.12500000,302.31140137,148.74011230
0.02090000,0.42160630,131629.39062500,302.31549072,148.52528381
0.02200000,0.41968167,131734.42187500,302.31201172,148.32673645
0.02310000,0.41968167,131843.12500000,302.27258301,148.13880920
0.02420000,0.41968167,131951.82812500,302.23318481,147.95092773
0.02530000,0.41968167,132060.53125000,302.19378662,147.76309204
0.02640000,0.41094374,132212.75000000,302.42123413,146.67637634
0.02749999,0.40726991,132323.70312500,302.53054810,146.09516907
0.02860001,0.40726991,132445.10937500,302.67886353,145.31187439
0.02970000,0.40707935,132564.79687500,302.77005005,144.71376038
0.03080001,0.40707935,132679.35937500,302.69158936,144.66575623
0.03189999,0.41127119,132787.34375000,302.68304443,144.36500549
0.03300001,0.41127119,132903.75000000,302.71426392,143.98793030
0.03409999,0.40355336,133011.76562500,302.71563721,143.71250916
0.03520001,0.40355336,133082.03125000,302.67425537,143.48336792
0.03629999,0.40355336,133152.29687500,302.63284302,143.25436401
0.03740000,0.40785453,133224.79687500,302.60324097,143.04226685
0.03849999,0.40376799,133329.73437500,302.52746582,143.02375793
0.03960000,0.40376799,133432.56250000,302.50714111,142.81779480
0.04069999,0.40376799,133535.39062500,302.48681641,142.61195374
0.04180000,0.40615225,133655.76562500,302.46783447,142.37998962
0.04289999,0.40230575,133772.09375000,302.45318604,142.13891602
0.04400000,0.39519973,133890.70312500,302.61431885,141.32574463
0.04509998,0.39519973,134020.68750000,302.75378418,140.61047363
0.04620000,0.39519973,134150.68750000,302.89328003,139.89598083
0.04729998,0.40027270,134280.45312500,303.02450562,139.23554993
0.04840000,0.39539616,134375.92187500,303.09283447,139.18363953
0.04949998,0.39539616,134466.68750000,303.16326904,139.14833069
0.05060000,0.39294196,134543.93750000,303.26055908,139.13127136
0.05169998,0.37988133,134624.35937500,303.49212646,123.08220673
0.05280000,0.38350776,134694.06250000,303.89877319,79.57832336
0.05389998,0.38350776,134770.26562500,304.31332397,39.59695816
0.05499999,nan,nan,nan,nan
