arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.46760432,129112.82031250,299.57897949,0.69361180
0.00110000,0.46760432,129261.37500000,299.27160645,52.18659973
0.00220000,0.46760432,129409.92968750,298.96426392,103.67895508
0.00330000,0.48045280,129557.40625000,298.64257812,157.95759583
0.00440000,0.47392023,129703.17968750,298.36102295,163.51049805
0.00550001,0.46371455,129834.88281250,298.11886597,163.36627197
0.00660000,0.46371455,129965.90625000,297.88186646,163.19871521
0.00770000,0.46176715,130117.39843750,297.82574463,162.91366577
0.00880000,0.46176715,130277.07812500,297.84194946,162.58131409
0.00990000,0.47849506,130434.46093750,297.86831665,162.19837952
0.01100000,0.48168320,130581.74218750,297.93359375,161.66232300
0.01210000,0.46298353,130726.61718750,298.02722168,161.19708252
0.01320001,0.46298353,130856.01562500,298.11529541,160.75914001
0.01430000,0.46298353,130985.40625000,298.20333862,160.32186890
0.01540000,0.46298353,131114.79687500,298.29138184,159.88523865
0.01650000,0.45658291,131246.25000000,298.41445923,159.27233887
0.01760001,0.45658291,131360.79687500,298.49172974,158.79185486
0.01870000,0.45658291,131475.34375000,298.56900024,158.31150818
0.01980000,0.44888899,131582.53125000,298.66479492,157.75675964
0.02090001,0.45347178,131680.25000000,298.71807861,157.42370605
0.02200000,0.45347178,131788.87500000,298.76473999,157.12011719
0.02310000,0.45347178,131897.51562500,298.81137085,156.81738281
0.02420001,0.44581828,132015.43750000,298.84622192,156.58595276
0.02530001,0.43855104,132164.59375000,298.95510864,155.78097534
0.02640000,0.44682538,132259.25000000,299.00405884,155.40916443
0.02750001,0.44682538,132344.26562500,299.03921509,155.16271973
0.02860001,0.43720943,132441.53125000,299.07479858,154.83317566
0.02970000,0.43720943,132546.07812500,299.11059570,154.45425415
0.03080000,0.45321658,132654.62500000,299.16995239,153.99937439
0.03189999,0.44054840,132780.25000000,299.25558472,153.49128723
0.03300001,0.44054840,132877.09375000,299.24401855,153.31001282
0.03410000,0.44054840,132973.92187500,299.23245239,153.12879944
0.03520002,0.45186889,133066.82812500,299.22399902,152.93090820
0.03630001,0.44519446,133177.42187500,299.24304199,152.48020935
0.03740000,0.44286093,133291.93750000,299.19506836,152.52340698
0.03850002,0.42859616,133398.45312500,299.17102051,152.43515015
0.03960001,0.43559199,133493.04687500,299.18496704,152.09039307
0.04070000,0.43163326,133592.26562500,299.20330811,151.74702454
0.04180001,0.43163326,133690.51562500,299.27468872,151.16784668
0.04290001,0.43163326,133788.78125000,299.34603882,150.58923340
0.04400000,0.42941404,133883.03125000,299.49438477,149.76672363
0.04510001,0.42941404,133980.57812500,299.68661499,148.95054626
0.04620001,0.42941404,134078.10937500,299.87881470,148.13591003
0.04730000,0.42927304,134165.71875000,300.06655884,147.38908386
0.04840001,0.41488019,134265.70312500,300.27526855,146.96739197
0.04950001,0.41488019,134342.92187500,300.49221802,146.48988342
0.05060002,0.41488019,134420.14062500,300.70916748,146.01277161
0.05170001,0.41073341,134513.14062500,300.92944336,126.48347473
0.05280000,0.41073341,134623.71875000,301.15347290,85.76674652
0.05390002,0.41073341,134734.28125000,301.37750244,45.04960251
0.05500001,nan,nan,nan,nan
