arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.46636326,129708.57031250,301.57254028,0.12977444
0.00110000,0.46025397,129901.36718750,301.06723022,81.59731293
0.00220000,0.46025397,130053.32031250,300.54843140,156.77328491
0.00330000,0.46222839,130172.76562500,299.96701050,159.77069092
0.00440000,0.46943084,130297.27343750,299.42532349,159.84422302
0.00549999,0.45818236,130476.74218750,299.37481689,159.42819214
0.00659999,0.45818236,130637.82031250,299.34075928,159.03251648
0.00770001,0.45897469,130799.60937500,299.40011597,158.39588928
0.00880000,0.46504333,130979.62500000,299.49194336,157.63827515
0.00990000,0.45384520,131072.54687500,299.56930542,157.26490784
0.01100000,0.45208424,131139.43750000,299.64260864,156.88957214
0.01210000,0.45593135,131279.34375000,299.79983521,155.99114990
0.01320000,0.44810449,131429.50000000,299.91860962,155.41014099
0.01430000,0.45156454,131580.57812500,300.04281616,154.74891663
0.01540000,0.44115695,131739.26562500,300.22467041,153.79823303
0.01650000,0.44139180,131806.75000000,300.29876709,153.47793579
0.01759999,0.44383981,131882.67187500,300.41339111,153.04208374
0.01869999,0.43791472,132005.06250000,300.55505371,152.44715881
0.01979999,0.43888095,132183.25000000,300.72760010,151.56619263
0.02090001,0.42707464,132349.84375000,300.89508057,150.62570190
0.02200000,0.43059550,132483.21875000,301.04202271,149.76162720
0.02310000,0.43309293,132602.25000000,301.16607666,148.97914124
0.02420000,0.43353461,132724.84375000,301.21865845,148.78308105
0.02530000,0.43069326,132849.21875000,301.27511597,148.56163025
0.02640000,0.43210716,132956.25000000,301.34234619,148.13404846
0.02750000,0.42425826,133059.37500000,301.37619019,147.78703308
0.02860000,0.42323955,133156.78125000,301.43173218,147.39971924
0.02969999,0.42576866,133281.10937500,301.50769043,146.86349487
0.03079999,0.42429905,133320.29687500,301.46749878,146.77529907
0.03189999,0.41708347,133477.25000000,301.54586792,146.02522278
0.03299999,0.41824573,133627.01562500,301.62362671,145.31744385
0.03409999,0.41825116,133785.06250000,301.68624878,144.75057983
0.03519999,0.41669286,133891.01562500,301.68737793,144.60826111
0.03629999,0.41555317,133948.03125000,301.63989258,144.85545349
0.03739998,0.41649780,134033.40625000,301.64910889,144.54252625
0.03849998,0.41649780,134136.48437500,301.66632080,144.12226868
0.03959998,0.41283229,134216.85937500,301.65985107,143.96278381
0.04069998,0.41675481,134318.85937500,301.68521118,143.61135864
0.04180001,0.41440229,134432.42187500,301.71813965,143.33502197
0.04290001,0.41440229,134544.39062500,301.76785278,143.11979675
0.04400001,0.40572061,134664.92187500,301.83367920,142.75372314
0.04510001,0.41012847,134785.95312500,301.93853760,142.25634766
0.04620000,0.41345125,134922.39062500,302.06488037,141.65972900
0.04730000,0.40802535,135011.82812500,302.18896484,141.38223267
0.04840000,0.40026195,135084.04687500,302.32022095,141.22798157
0.04950000,0.40646566,135232.00000000,302.58865356,140.55372620
0.05060000,0.40559535,135386.64062500,302.90023804,139.82917786
0.05170000,0.40559535,135502.96875000,303.43847656,139.16162109
0.05280000,0.39263569,135603.42187500,303.96426392,138.59553528
0.05390000,0.39549573,135696.76562500,304.62878418,67.90274811
0.05500000,nan,nan,nan,nan
