arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.51066536,127593.95312500,298.19967651,0.47593090
0.00110000,0.51066536,127748.71875000,297.82037354,66.43967438
0.00220000,0.51066536,127903.48437500,297.44107056,132.40328979
0.00330001,0.50899351,128070.32812500,297.12329102,176.11114502
0.00440001,0.51247163,128271.16406250,296.90985107,175.68180847
0.00549999,0.51247163,128477.81250000,296.69290161,175.24508667
0.00660000,0.50817733,128650.13281250,296.59497070,174.76455688
0.00770000,0.50817733,128801.41406250,296.56994629,174.25732422
0.00880000,0.50346937,128959.17187500,296.56237793,173.72143555
0.00990000,0.50429484,129153.62500000,296.70556641,173.03196716
0.01100000,0.50429484,129356.45312500,296.86849976,172.29743958
0.01210000,0.49606742,129542.28906250,297.02294922,171.66647339
0.01320000,0.49550169,129674.61718750,297.16528320,171.16326904
0.01429999,0.49690955,129815.31250000,297.30969238,170.58045959
0.01539999,0.49690955,129955.47656250,297.45239258,170.00904846
0.01650000,0.49163484,130110.02343750,297.60998535,169.30155945
0.01760000,0.49356397,130252.11718750,297.73226929,168.70173645
0.01870000,0.49356397,130378.68750000,297.81890869,168.20989990
0.01980000,0.48446889,130506.52343750,297.91464233,167.71022034
0.02090000,0.48139373,130631.35156250,298.05001831,167.10467529
0.02200000,0.48110539,130745.35937500,298.16690063,166.60350037
0.02310001,0.48472025,130872.15625000,298.30380249,165.99154663
0.02420001,0.48030981,130987.83593750,298.38613892,165.55029297
0.02530001,0.48030981,131117.62500000,298.42395020,165.16912842
0.02640001,0.48030981,131247.40625000,298.46179199,164.78811646
0.02750001,0.47645511,131358.98437500,298.50378418,164.47578430
0.02859999,0.47645511,131464.32812500,298.55368042,164.15571594
0.02969999,0.47645511,131569.67187500,298.60357666,163.83569336
0.03079999,0.47190280,131680.82812500,298.67483521,163.36186218
0.03189999,0.47190280,131770.62500000,298.72061157,162.92184448
0.03299999,0.47122295,131861.21875000,298.76608276,162.48245239
0.03409999,0.46575839,131967.75000000,298.81463623,162.02064514
0.03520000,0.46745943,132141.73437500,298.89913940,161.31405640
0.03630000,0.46745943,132313.45312500,298.99282837,160.53889465
0.03740000,0.46104675,132451.03125000,299.04281616,160.04078674
0.03850000,0.46514832,132558.37500000,299.03546143,159.91746521
0.03960000,0.46514832,132667.71875000,299.03848267,159.76048279
0.04070000,0.46514832,132777.04687500,299.04153442,159.60354614
0.04180000,0.45885994,132907.90625000,299.08752441,159.17752075
0.04290000,0.46008802,133038.01562500,299.15753174,158.72811890
0.04400001,0.46008802,133160.23437500,299.23083496,158.30177307
0.04510001,0.46047943,133290.92187500,299.31015015,157.80952454
0.04619998,0.45351842,133421.68750000,299.42370605,157.35803223
0.04729998,0.45351842,133566.20312500,299.56564331,156.89083862
0.04839998,0.45351842,133710.70312500,299.70758057,156.42391968
0.04949998,0.45182190,133836.37500000,300.04348755,155.89317322
0.05059999,0.45182190,133955.18750000,300.44998169,155.33961487
0.05169999,0.44661570,134078.50000000,300.86614990,154.70669556
0.05279999,0.44122221,134173.65625000,301.27392578,107.00102234
0.05389999,0.44122221,134281.06250000,301.69146729,53.27895355
0.05500000,nan,nan,nan,nan
