arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.11507403,125966.39062500,302.47943115,89.55546570
0.00110000,0.11507403,125992.56250000,302.15853882,52.45745468
0.00220000,0.11601005,126009.58593750,301.80563354,40.62981415
0.00330000,0.11869467,126008.21875000,301.38558960,41.11386490
0.00440000,0.11980144,126003.76562500,300.98565674,41.71512222
0.00550001,0.12093900,126015.96093750,300.70935059,42.11243057
0.00660000,0.12144215,126028.67187500,300.53506470,42.49904633
0.00770000,0.12285351,126054.32812500,300.44351196,42.81315994
0.00880000,0.12440072,126072.14062500,300.37322998,43.07442093
0.00990000,0.12381384,126081.57031250,300.31613159,43.29402161
0.01100000,0.12519434,126099.42187500,300.26223755,43.30832672
0.01210000,0.12467360,126110.02343750,300.26867676,43.50831604
0.01320001,0.12591543,126125.69531250,300.27343750,43.68268967
0.01430000,0.12608031,126130.65625000,300.25949097,44.00917053
0.01540000,0.12687345,126143.20312500,300.18634033,44.28165436
0.01650000,0.12812382,126165.35937500,300.21395874,44.52031708
0.01760001,0.12727456,126190.71875000,300.31112671,44.82006454
0.01870000,0.12922064,126217.89843750,300.36309814,44.93213654
0.01980000,0.12901599,126244.97656250,300.39929199,45.03470993
0.02090001,0.12955037,126264.28125000,300.48355103,45.19696426
0.02200000,0.12955037,126275.50781250,300.57659912,45.45609665
0.02310000,0.13118228,126295.19531250,300.60607910,45.65283585
0.02420001,0.13184491,126321.95312500,300.65332031,45.91657257
0.02530001,0.13084355,126341.17187500,300.61727905,46.23687744
0.02640000,0.13196610,126370.79687500,300.70861816,46.45183563
0.02750001,0.13395651,126389.82812500,300.74371338,46.72714615
0.02860001,0.13228397,126410.14843750,300.72402954,47.02490997
0.02970000,0.13455613,126429.31250000,300.69000244,47.27796555
0.03080000,0.13499576,126457.71875000,300.71389771,47.27818298
0.03189999,0.13672529,126481.21875000,300.71453857,47.57694244
0.03300001,0.13675754,126484.02343750,300.64697266,48.14773941
0.03410000,0.13831114,126504.94531250,300.69720459,48.57930756
0.03520002,0.13831114,126539.85156250,300.75103760,49.08691406
0.03630001,0.14219925,126567.15625000,300.72265625,49.69095612
0.03740000,0.14325370,126601.50781250,300.77969360,49.84925079
0.03850002,0.14325370,126634.98437500,300.86633301,49.97143555
0.03960001,0.14300188,126654.94531250,300.96060181,50.20592880
0.04070000,0.14300188,126671.56250000,301.11035156,50.46395111
0.04180001,0.14468748,126687.03906250,301.27453613,50.70773697
0.04290001,0.14470488,126709.80468750,301.57391357,50.95120239
0.04400000,0.14470488,126737.48437500,301.92193604,51.23364258
0.04510001,0.14560754,126759.97656250,302.45663452,51.50873947
0.04620001,0.14454338,126779.65625000,303.30276489,51.52608490
0.04730000,0.15201975,126792.50000000,304.00231934,51.70564651
0.04840001,0.13954816,126833.48437500,305.48046875,51.81775665
0.04950001,0.13954816,126857.50781250,306.89993286,52.31116486
0.05060002,0.15001141,126885.86718750,308.30755615,54.99934006
0.05170001,0.15001141,126917.92187500,309.59420776,58.50178909
0.05280000,0.18745270,126961.42968750,309.49157715,51.31306076
0.05390002,0.18745270,127013.42187500,308.45050049,25.61500931
0.05500001,nan,nan,nan,nan
