arc_length,Mach_Magnitude,p,T,U_Magnitude
0.00000000,0.59694002,95908.82812500,285.78512573,0.82087606
0.00110000,0.59694002,96037.60937500,285.06359863,68.85978699
0.00220001,0.59694002,96166.39062500,284.34204102,136.89956665
0.00330000,0.60812483,96337.07812500,283.73400879,203.78756714
0.00440000,0.60866601,96543.27343750,283.39657593,203.15058899
0.00550000,0.59370701,96766.57812500,282.94949341,202.69494629
0.00660000,0.59223690,96975.07031250,282.36825562,202.54437256
0.00770000,0.59325060,97168.67968750,282.05468750,202.13011169
0.00880001,0.59325060,97340.35937500,281.92959595,201.69477844
0.00990000,0.59677279,97483.71875000,281.77551270,201.42828369
0.01100000,0.59677279,97625.42187500,281.61975098,201.17189026
0.01210001,0.58908991,97773.60937500,281.68218994,200.55470276
0.01320000,0.58412722,97930.66406250,281.81570435,199.77915955
0.01430000,0.58412722,98109.29687500,282.02191162,198.76553345
0.01540001,0.59227446,98271.67187500,282.03482056,198.34541321
0.01650000,0.57723504,98424.57031250,282.02557373,197.98448181
0.01760000,0.57723504,98556.54687500,281.96597290,197.75830078
0.01870001,0.58055899,98708.43750000,281.93923950,197.39935303
0.01980002,0.58061342,98852.98437500,281.98367310,196.93214417
0.02090000,0.58061342,98992.02343750,282.07171631,196.40214539
0.02200001,0.58061342,99131.07031250,282.15979004,195.87220764
0.02310002,0.56147794,99266.48437500,282.18438721,195.50177002
0.02420000,0.56147794,99395.78906250,282.30679321,194.92015076
0.02530001,0.57158941,99524.85937500,282.42590332,194.33926392
0.02640002,0.57158941,99653.80468750,282.54324341,193.75880432
0.02750000,0.57158941,99782.75000000,282.66055298,193.17842102
0.02860001,0.57549752,99928.98437500,282.80413818,192.56475830
0.02970002,0.57549752,100092.00781250,282.88366699,192.16711426
0.03080000,0.56643674,100262.50000000,282.98791504,191.64894104
0.03190001,0.56535352,100426.33593750,283.12164307,191.04870605
0.03300002,0.56535352,100551.54687500,283.22930908,190.69776917
0.03410000,0.57087023,100685.89843750,283.36218262,190.26197815
0.03520001,0.57087023,100828.36718750,283.51742554,189.75086975
0.03630002,0.57560949,100953.11718750,283.68911743,189.32295227
0.03740000,0.56203677,101064.66406250,283.85708618,188.97550964
0.03850001,0.55816591,101194.99218750,284.08590698,188.56387329
0.03960002,0.55816591,101326.25781250,284.31683350,188.14828491
0.04070000,0.55816591,101457.52343750,284.54776001,187.73287964
0.04180001,0.56020243,101620.44531250,284.86639404,187.08917236
0.04290002,0.55008249,101775.35937500,285.26690674,186.40730286
0.04400000,0.55008249,101879.46093750,285.61056519,186.10668945
0.04510001,0.55008249,101983.55468750,285.95422363,185.80751038
0.04620002,0.54903275,102088.42968750,286.29928589,185.51263428
0.04730000,0.54237712,102216.34375000,286.86764526,185.20166016
0.04840001,0.54237712,102344.31250000,287.43457031,184.89399719
0.04950002,0.54237712,102472.28125000,288.00149536,184.58659363
0.05060000,0.54939881,102609.07812500,288.58718872,184.21093750
0.05170001,0.53166145,102751.25781250,289.20651245,155.42105103
0.05280003,0.52893714,102875.55468750,289.81988525,105.87126160
0.05390001,0.53792878,102982.94531250,290.43078613,54.21070480
0.05500001,nan,nan,nan,nan
